quarter_start,clinic_id,clinic_name,clinic_waiting_total,clinic_treated_total,catchment_total,pct_of_catchment,catchment,capacity_ratio,capacity_pct,n_qtr_to_100pct,total_months
2020-01-01,23,ATHERTON DENTAL CLINIC,1084,28,9903,10.9461779258810461,Cairns and Hinterland,0.026,2.58,39,117
2020-01-01,136,GEORGETOWN DENTAL CLINIC,2,0,9903,0.02019590023225285267,Cairns and Hinterland,0.000,0.00,NULL,NULL
2020-01-01,135,YARRABAH DENTAL CLINIC,1,8,9903,0.01009795011612642634,Cairns and Hinterland,8.000,800.00,0,0
2020-01-01,21,MOSSMAN DENTAL CLINIC,553,32,9903,5.5841664142179138,Cairns and Hinterland,0.058,5.79,17,51
2020-01-01,30,EDMONTON DENTAL CLINIC,1484,37,9903,14.9853579723316167,Cairns and Hinterland,0.025,2.49,40,120
2020-01-01,28,TULLY DENTAL CLINIC,728,24,9903,7.3513076845400384,Cairns and Hinterland,0.033,3.30,30,90
2020-01-01,27,SMITHFIELD DENTAL CLINIC,975,37,9903,9.8455013632232657,Cairns and Hinterland,0.038,3.79,26,78
2020-01-01,26,CAIRNS NTH DENTAL CLINIC,2636,100,9903,26.6181965061092598,Cairns and Hinterland,0.038,3.79,26,78
2020-01-01,25,MAREEBA DENTAL CLINIC,1243,42,9903,12.5517519943451479,Cairns and Hinterland,0.034,3.38,30,90
2020-01-01,133,CROYDON DENTAL CLINIC,0,1,9903,0.00000000000000000000,Cairns and Hinterland,NULL,NULL,NULL,NULL
2020-01-01,24,INNISFAIL DENTAL CLINIC,1197,16,9903,12.0872462890033323,Cairns and Hinterland,0.013,1.34,75,225
2020-07-01,136,GEORGETOWN DENTAL CLINIC,2,0,11186,0.01787949222242088325,Cairns and Hinterland,0.000,0.00,NULL,NULL
2020-07-01,27,SMITHFIELD DENTAL CLINIC,1208,7,11186,10.7992133023422135,Cairns and Hinterland,0.006,0.58,173,519
2020-07-01,26,CAIRNS NTH DENTAL CLINIC,3007,23,11186,26.8818165564097980,Cairns and Hinterland,0.008,0.76,131,393
2020-07-01,25,MAREEBA DENTAL CLINIC,1328,42,11186,11.8719828356874665,Cairns and Hinterland,0.032,3.16,32,96
2020-07-01,24,INNISFAIL DENTAL CLINIC,1234,5,11186,11.0316467012336850,Cairns and Hinterland,0.004,0.41,247,741
2020-07-01,23,ATHERTON DENTAL CLINIC,1257,5,11186,11.2372608617915251,Cairns and Hinterland,0.004,0.40,251,753
2020-07-01,30,EDMONTON DENTAL CLINIC,1753,13,11186,15.6713749329519042,Cairns and Hinterland,0.007,0.74,135,405
2020-07-01,28,TULLY DENTAL CLINIC,774,10,11186,6.9193634900768818,Cairns and Hinterland,0.013,1.29,77,231
2020-07-01,21,MOSSMAN DENTAL CLINIC,620,2,11186,5.5426425889504738,Cairns and Hinterland,0.003,0.32,310,930
2020-07-01,133,CROYDON DENTAL CLINIC,1,1,11186,0.00893974611121044162,Cairns and Hinterland,1.000,100.00,1,3
2020-07-01,135,YARRABAH DENTAL CLINIC,2,6,11186,0.01787949222242088325,Cairns and Hinterland,3.000,300.00,0,0
2020-10-01,135,YARRABAH DENTAL CLINIC,8,6,11606,0.06892986386351886955,Cairns and Hinterland,0.750,75.00,1,3
2020-10-01,133,CROYDON DENTAL CLINIC,1,0,11606,0.00861623298293985869,Cairns and Hinterland,0.000,0.00,NULL,NULL
2020-10-01,30,EDMONTON DENTAL CLINIC,1815,36,11606,15.6384628640358435,Cairns and Hinterland,0.020,1.98,50,150
2020-10-01,26,CAIRNS NTH DENTAL CLINIC,3167,35,11606,27.2876098569705325,Cairns and Hinterland,0.011,1.11,90,270
2020-10-01,27,SMITHFIELD DENTAL CLINIC,1336,2,11606,11.5112872652076512,Cairns and Hinterland,0.001,0.15,668,2004
2020-10-01,28,TULLY DENTAL CLINIC,780,10,11606,6.7206617266930898,Cairns and Hinterland,0.013,1.28,78,234
2020-10-01,21,MOSSMAN DENTAL CLINIC,667,9,11606,5.7470273996208857,Cairns and Hinterland,0.013,1.35,74,222
2020-10-01,23,ATHERTON DENTAL CLINIC,1250,26,11606,10.7702912286748234,Cairns and Hinterland,0.021,2.08,48,144
2020-10-01,24,INNISFAIL DENTAL CLINIC,1280,6,11606,11.0287782181630191,Cairns and Hinterland,0.005,0.47,213,639
2020-10-01,25,MAREEBA DENTAL CLINIC,1300,60,11606,11.2011028778218163,Cairns and Hinterland,0.046,4.62,22,66
2020-10-01,137,CHILLAGOE DENTAL CLINIC,0,1,11606,0.000000000000000000000000,Cairns and Hinterland,NULL,NULL,NULL,NULL
2020-10-01,136,GEORGETOWN DENTAL CLINIC,2,0,11606,0.01723246596587971739,Cairns and Hinterland,0.000,0.00,NULL,NULL
2021-01-01,26,CAIRNS NTH DENTAL CLINIC,3259,64,11635,28.0103137086377310,Cairns and Hinterland,0.020,1.96,51,153
2021-01-01,135,YARRABAH DENTAL CLINIC,1,8,11635,0.00859475719810915342,Cairns and Hinterland,8.000,800.00,0,0
2021-01-01,136,GEORGETOWN DENTAL CLINIC,2,1,11635,0.01718951439621830683,Cairns and Hinterland,0.500,50.00,2,6
2021-01-01,24,INNISFAIL DENTAL CLINIC,1326,18,11635,11.3966480446927374,Cairns and Hinterland,0.014,1.36,74,222
2021-01-01,137,CHILLAGOE DENTAL CLINIC,0,3,11635,0.000000000000000000000000,Cairns and Hinterland,NULL,NULL,NULL,NULL
2021-01-01,23,ATHERTON DENTAL CLINIC,1157,48,11635,9.9441340782122905,Cairns and Hinterland,0.041,4.15,24,72
2021-01-01,30,EDMONTON DENTAL CLINIC,1845,49,11635,15.8573270305113881,Cairns and Hinterland,0.027,2.66,38,114
2021-01-01,28,TULLY DENTAL CLINIC,727,37,11635,6.2483884830253545,Cairns and Hinterland,0.051,5.09,20,60
2021-01-01,21,MOSSMAN DENTAL CLINIC,685,11,11635,5.8874086807047701,Cairns and Hinterland,0.016,1.61,62,186
2021-01-01,133,CROYDON DENTAL CLINIC,1,1,11635,0.00859475719810915342,Cairns and Hinterland,1.000,100.00,1,3
2021-01-01,27,SMITHFIELD DENTAL CLINIC,1413,29,11635,12.1443919209282338,Cairns and Hinterland,0.021,2.05,49,147
2021-01-01,25,MAREEBA DENTAL CLINIC,1219,79,11635,10.4770090244950580,Cairns and Hinterland,0.065,6.48,15,45
2021-04-01,133,CROYDON DENTAL CLINIC,1,0,11643,0.00858885167053164992,Cairns and Hinterland,0.000,0.00,NULL,NULL
2021-04-01,21,MOSSMAN DENTAL CLINIC,705,7,11643,6.0551404277248132,Cairns and Hinterland,0.010,0.99,101,303
2021-04-01,23,ATHERTON DENTAL CLINIC,1119,41,11643,9.6109250193249163,Cairns and Hinterland,0.037,3.66,27,81
2021-04-01,24,INNISFAIL DENTAL CLINIC,1342,4,11643,11.5262389418534742,Cairns and Hinterland,0.003,0.30,335,1005
2021-04-01,25,MAREEBA DENTAL CLINIC,1152,51,11643,9.8943571244524607,Cairns and Hinterland,0.044,4.43,23,69
2021-04-01,26,CAIRNS NTH DENTAL CLINIC,3277,42,11643,28.1456669243322168,Cairns and Hinterland,0.013,1.28,78,234
2021-04-01,27,SMITHFIELD DENTAL CLINIC,1436,30,11643,12.3335909988834493,Cairns and Hinterland,0.021,2.09,48,144
2021-04-01,28,TULLY DENTAL CLINIC,690,37,11643,5.9263076526668384,Cairns and Hinterland,0.054,5.36,19,57
2021-04-01,30,EDMONTON DENTAL CLINIC,1915,53,11643,16.4476509490681096,Cairns and Hinterland,0.028,2.77,36,108
2021-04-01,135,YARRABAH DENTAL CLINIC,3,4,11643,0.02576655501159494976,Cairns and Hinterland,1.333,133.33,1,3
2021-04-01,136,GEORGETOWN DENTAL CLINIC,3,0,11643,0.02576655501159494976,Cairns and Hinterland,0.000,0.00,NULL,NULL
2022-07-01,23,ATHERTON DENTAL CLINIC,985,39,9959,9.8905512601666834,Cairns and Hinterland,0.040,3.96,25,75
2022-07-01,24,INNISFAIL DENTAL CLINIC,892,57,9959,8.9567225625062757,Cairns and Hinterland,0.064,6.39,16,48
2022-07-01,25,MAREEBA DENTAL CLINIC,1159,65,9959,11.6377146299829300,Cairns and Hinterland,0.056,5.61,18,54
2022-07-01,26,CAIRNS NTH DENTAL CLINIC,2659,117,9959,26.6994678180540215,Cairns and Hinterland,0.044,4.40,23,69
2022-07-01,27,SMITHFIELD DENTAL CLINIC,1177,66,9959,11.8184556682397831,Cairns and Hinterland,0.056,5.61,18,54
2022-07-01,28,TULLY DENTAL CLINIC,674,33,9959,6.7677477658399438,Cairns and Hinterland,0.049,4.90,20,60
2022-07-01,30,EDMONTON DENTAL CLINIC,1814,75,9959,18.2146801887739733,Cairns and Hinterland,0.041,4.13,24,72
2022-07-01,137,CHILLAGOE DENTAL CLINIC,0,1,9959,0.00000000000000000000,Cairns and Hinterland,NULL,NULL,NULL,NULL
