quarter,catchment,total_waiting,total_waiting_adjusted,backlog,proportional_backlog
2020-01-01,Cairns and Hinterland,9816,9816.00,0.00,0.00
2020-01-01,Central Queensland,7373,7373.00,0.00,0.00
2020-01-01,Central West,656,656.00,0.00,0.00
2020-01-01,Darling Downs,8563,8563.00,0.00,0.00
2020-01-01,Gold Coast,6026,6026.00,0.00,0.00
2020-01-01,Mackay,6240,6240.00,0.00,0.00
2020-01-01,Metro North,18827,18827.00,0.00,0.00
2020-01-01,Metro South,33402,33402.00,0.00,0.00
2020-01-01,North West,910,910.00,0.00,0.00
2020-01-01,South West,1161,1161.00,0.00,0.00
2020-01-01,Sunshine Coast,12029,12029.00,0.00,0.00
2020-01-01,Torres and Cape,631,631.00,0.00,0.00
2020-01-01,Townsville,2711,2711.00,0.00,0.00
2020-01-01,West Moreton,9868,9940.50,72.50,0.73
2020-01-01,Wide Bay,8949,8949.00,0.00,0.00
2020-07-01,Cairns and Hinterland,11372,11443.75,71.75,0.63
2020-07-01,Central Queensland,8134,8134.00,0.00,0.00
2020-07-01,Central West,621,634.25,13.25,2.09
2020-07-01,Darling Downs,8763,8763.00,0.00,0.00
2020-07-01,Gold Coast,7527,7527.00,0.00,0.00
2020-07-01,Mackay,6641,6641.00,0.00,0.00
2020-07-01,Metro North,18357,18357.25,0.25,0.00
2020-07-01,Metro South,34669,34669.00,0.00,0.00
2020-07-01,North West,985,985.00,0.00,0.00
2020-07-01,South West,1236,1236.00,0.00,0.00
2020-07-01,Sunshine Coast,12053,12069.25,16.25,0.13
2020-07-01,Torres and Cape,633,642.25,9.25,1.44
2020-07-01,Townsville,2509,2509.00,0.00,0.00
2020-07-01,West Moreton,10115,10459.75,344.75,3.30
2020-07-01,Wide Bay,9133,9133.00,0.00,0.00
2020-10-01,Cairns and Hinterland,NULL,NULL,NULL,NULL
2020-10-01,Central Queensland,NULL,NULL,NULL,NULL
2020-10-01,Central West,NULL,NULL,NULL,NULL
2020-10-01,Darling Downs,NULL,NULL,NULL,NULL
2020-10-01,Gold Coast,NULL,NULL,NULL,NULL
2020-10-01,Mackay,NULL,NULL,NULL,NULL
2020-10-01,Metro North,NULL,NULL,NULL,NULL
2020-10-01,Metro South,NULL,NULL,NULL,NULL
2020-10-01,North West,NULL,NULL,NULL,NULL
2020-10-01,South West,NULL,NULL,NULL,NULL
2020-10-01,Sunshine Coast,NULL,NULL,NULL,NULL
2020-10-01,Torres and Cape,NULL,NULL,NULL,NULL
2020-10-01,Townsville,NULL,NULL,NULL,NULL
2020-10-01,West Moreton,NULL,NULL,NULL,NULL
2020-10-01,Wide Bay,NULL,NULL,NULL,NULL
2021-01-01,Cairns and Hinterland,11538,11657.00,119.00,1.02
2021-01-01,Central Queensland,7869,7869.00,0.00,0.00
2021-01-01,Central West,643,643.50,0.50,0.08
2021-01-01,Darling Downs,9102,9121.75,19.75,0.22
2021-01-01,Gold Coast,9034,9034.00,0.00,0.00
2021-01-01,Mackay,6780,6780.00,0.00,0.00
2021-01-01,Metro North,18171,18171.25,0.25,0.00
2021-01-01,Metro South,33959,33959.00,0.00,0.00
2021-01-01,North West,1193,1197.50,4.50,0.38
2021-01-01,South West,1305,1305.00,0.00,0.00
2021-01-01,Sunshine Coast,11888,11889.25,1.25,0.01
2021-01-01,Torres and Cape,820,855.50,35.50,4.15
2021-01-01,Townsville,2790,2790.00,0.00,0.00
2021-01-01,West Moreton,9357,9617.00,260.00,2.70
2021-01-01,Wide Bay,9439,9439.00,0.00,0.00
2021-04-01,Cairns and Hinterland,11819,12019.25,200.25,1.67
2021-04-01,Central Queensland,7958,7958.00,0.00,0.00
2021-04-01,Central West,770,770.00,0.00,0.00
2021-04-01,Darling Downs,9009,9044.00,35.00,0.39
2021-04-01,Gold Coast,9290,9337.00,47.00,0.50
