quarter,catchment,catchment_waiting_total,catchment_treated_total,quarter_capacity,waitlist_total,waitlist_treated,catchment_pct_of_qld,catchment_mean,catchment_median,standard_deviation,median_absolute_deviation
2023-04-01,Cairns and Hinterland,8487,1340,14.47,119092,17231,7.13,32.82,14.9,31.50,0
2023-04-01,Metro North,12629,4473,14.47,119092,17231,10.60,14.42,2.1500000000000004,26.07,2.220446049250313e-16
2023-04-01,Mackay,6576,1059,14.47,119092,17231,5.52,28.68,23,20.73,0
2023-04-01,South West,835,356,14.47,119092,17231,0.70,24.33,24.299999999999997,17.48,-1.7763568394002505e-15
2023-04-01,Darling Downs,9308,1073,14.47,119092,17231,7.82,15.23,11.15,11.53,0
2023-04-01,Townsville,2977,305,14.47,119092,17231,2.50,5.88,5.1,5.39,0
2023-04-01,Central Queensland,8368,1401,14.47,119092,17231,7.03,15.62,14.45,4.82,-8.881784197001252e-16
2023-04-01,Gold Coast,9858,1155,14.47,119092,17231,8.28,12.08,11.85,4.32,0
2023-04-01,Wide Bay,10909,726,14.47,119092,17231,9.16,9.53,9.1,4.25,0
2023-04-01,North West,709,30,14.47,119092,17231,0.60,2.83,1.5,1.96,0
2023-04-01,Torres and Cape,940,131,14.47,119092,17231,0.79,12.00,12,1.50,0
2023-04-01,Metro South,26477,4168,14.47,119092,17231,22.23,13.78,13.3,1.41,0
2023-04-01,West Moreton,7276,386,14.47,119092,17231,6.11,5.14,4.9,1.35,0
2023-04-01,Sunshine Coast,12850,510,14.47,119092,17231,10.79,3.68,3.4,0.84,0
2023-04-01,Central West,893,118,14.47,119092,17231,0.75,11.70,11.7,0.00,0
2023-07-01,Cairns and Hinterland,8338,1189,12.45,119700,14907,6.97,37.21,14.1,38.75,0
2023-07-01,Sunshine Coast,11469,1514,12.45,119700,14907,9.58,26.20,11.55,33.02,0
2023-07-01,Mackay,6426,1128,12.45,119700,14907,5.37,34.14,27.6,19.88,0
2023-07-01,Metro North,13401,1751,12.45,119700,14907,11.20,9.73,1.35,13.76,1.1102230246251565e-16
2023-07-01,South West,798,288,12.45,119700,14907,0.67,21.12,21.4,12.66,0
2023-07-01,Townsville,3126,334,12.45,119700,14907,2.61,11.15,7.4,8.97,0
2023-07-01,Darling Downs,9194,1044,12.45,119700,14907,7.68,12.65,12.55,7.74,8.881784197001252e-16
2023-07-01,Wide Bay,10631,960,12.45,119700,14907,8.88,10.03,10,3.76,0
2023-07-01,West Moreton,7183,599,12.45,119700,14907,6.00,6.53,6.4,3.72,4.440892098500626e-16
2023-07-01,Gold Coast,8685,1505,12.45,119700,14907,7.26,16.05,14.8,3.29,8.881784197001252e-16
2023-07-01,North West,687,35,12.45,119700,14907,0.57,2.67,0.9,3.16,0
2023-07-01,Central Queensland,8093,1462,12.45,119700,14907,6.76,14.28,14.649999999999999,3.01,-8.881784197001252e-16
2023-07-01,Torres and Cape,1037,155,12.45,119700,14907,0.87,13.20,13.2,1.20,-8.881784197001252e-16
2023-07-01,Metro South,29987,2873,12.45,119700,14907,25.05,8.72,8.9,0.74,0
2023-07-01,Central West,645,70,12.45,119700,14907,0.54,9.80,9.8,0.00,0
2023-10-01,Cairns and Hinterland,8686,836,8.93,125064,11162,6.95,39.41,10.8,42.87,8.881784197001252e-16
2023-10-01,Metro North,14553,1649,8.93,125064,11162,11.64,21.80,1.8,34.11,0
2023-10-01,Sunshine Coast,11800,1325,8.93,125064,11162,9.44,25.08,10.3,33.51,8.881784197001252e-16
2023-10-01,Central Queensland,8397,1014,8.93,125064,11162,6.71,21.07,8.3,32.42,0
2023-10-01,South West,942,255,8.93,125064,11162,0.75,11.88,3.5,13.55,0
2023-10-01,Mackay,7187,455,8.93,125064,11162,5.75,11.72,4.6,11.98,0
2023-10-01,Gold Coast,8498,1003,8.93,125064,11162,6.79,12.18,12.6,8.40,0
2023-10-01,Darling Downs,9685,881,8.93,125064,11162,7.74,9.99,8.35,6.97,0
2023-10-01,Townsville,3082,507,8.93,125064,11162,2.46,10.42,12.05,5.97,0
2023-10-01,Wide Bay,11135,889,8.93,125064,11162,8.90,8.30,7,4.72,0
2023-10-01,North West,702,19,8.93,125064,11162,0.56,3.53,2.4,2.89,0
2023-10-01,Torres and Cape,1054,111,8.93,125064,11162,0.84,9.20,9.2,2.10,-8.881784197001252e-16
2023-10-01,Metro South,29850,2055,8.93,125064,11162,23.87,6.24,6.7,1.02,0
2023-10-01,West Moreton,8461,52,8.93,125064,11162,6.77,0.40,0.4,0.35,2.7755575615628914e-17
2023-10-01,Central West,1032,111,8.93,125064,11162,0.83,9.70,9.7,0.00,0
