quarter,catchment,catchment_waiting_total,catchment_treated_total,catchment_treatment_ratio,catchment_treatment_pct,months_to_treat,patients_cleared_in_24mo,patients_beyond_24mo,long_waiting_patients,exit_results,exit_interpretation
2023-04-01,Cairns and Hinterland,8487,1340,0.158,15.79,19,10720,-2233,1,-2234,within target
2023-04-01,Central Queensland,8368,1401,0.167,16.74,18,11157,-2789,0,-2789,within target
2023-04-01,Central West,893,118,0.132,13.21,23,932,-39,0,-39,within target
2023-04-01,Darling Downs,9308,1073,0.115,11.53,26,8592,716,0,716,exits likely
2023-04-01,Gold Coast,9858,1155,0.117,11.72,26,9100,758,0,758,exits likely
2023-04-01,Mackay,6576,1059,0.161,16.10,19,8307,-1731,0,-1731,within target
2023-04-01,Metro North,12629,4473,0.354,35.42,8,37887,-25258,0,-25258,within target
2023-04-01,Metro South,26477,4168,0.157,15.74,19,33445,-6968,0,-6968,within target
2023-04-01,North West,709,30,0.042,4.23,71,240,469,125,344,exits likely
2023-04-01,South West,835,356,0.426,42.63,7,2863,-2028,0,-2028,within target
2023-04-01,Sunshine Coast,12850,510,0.040,3.97,75,4112,8738,0,8738,exits likely
2023-04-01,Torres and Cape,940,131,0.139,13.94,22,1025,-85,188,-273,within target
2023-04-01,Townsville,2977,305,0.102,10.25,29,2464,513,0,513,exits likely
2023-04-01,West Moreton,7276,386,0.053,5.31,57,3064,4212,0,4212,exits likely
2023-04-01,Wide Bay,10909,726,0.067,6.66,45,5818,5091,0,5091,exits likely
2023-07-01,Cairns and Hinterland,8338,1189,0.143,14.26,21,9529,-1191,0,-1191,within target
2023-07-01,Central Queensland,8093,1462,0.181,18.06,17,11425,-3332,0,-3332,within target
2023-07-01,Central West,645,70,0.109,10.85,28,553,92,0,92,exits likely
2023-07-01,Darling Downs,9194,1044,0.114,11.36,26,8487,707,0,707,exits likely
2023-07-01,Gold Coast,8685,1505,0.173,17.33,17,12261,-3576,0,-3576,within target
2023-07-01,Mackay,6426,1128,0.176,17.55,17,9072,-2646,0,-2646,within target
2023-07-01,Metro North,13401,1751,0.131,13.07,23,13984,-583,0,-583,within target
2023-07-01,Metro South,29987,2873,0.096,9.58,31,23216,6771,0,6771,exits likely
2023-07-01,North West,687,35,0.051,5.09,59,279,408,113,295,exits likely
2023-07-01,South West,798,288,0.361,36.09,8,2394,-1596,0,-1596,within target
2023-07-01,Sunshine Coast,11469,1514,0.132,13.20,23,11968,-499,0,-499,within target
2023-07-01,Torres and Cape,1037,155,0.149,14.95,20,1244,-207,239,-446,within target
2023-07-01,Townsville,3126,334,0.107,10.68,28,2679,447,0,447,exits likely
2023-07-01,West Moreton,7183,599,0.083,8.34,36,4789,2394,0,2394,exits likely
2023-07-01,Wide Bay,10631,960,0.090,9.03,33,7732,2899,0,2899,exits likely
2023-10-01,Cairns and Hinterland,8686,836,0.096,9.62,31,6725,1961,0,1961,exits likely
2023-10-01,Central Queensland,8397,1014,0.121,12.08,25,8061,336,0,336,exits likely
2023-10-01,Central West,1032,111,0.108,10.76,28,885,147,0,147,exits likely
2023-10-01,Darling Downs,9685,881,0.091,9.10,33,7044,2641,0,2641,exits likely
2023-10-01,Gold Coast,8498,1003,0.118,11.80,25,8158,340,0,340,exits likely
2023-10-01,Mackay,7187,455,0.063,6.33,48,3594,3593,7,3586,exits likely
2023-10-01,Metro North,14553,1649,0.113,11.33,27,12936,1617,0,1617,exits likely
2023-10-01,Metro South,29850,2055,0.069,6.88,43,16660,13190,0,13190,exits likely
2023-10-01,North West,702,19,0.027,2.71,111,152,550,83,467,exits likely
2023-10-01,South West,942,255,0.271,27.07,11,2055,-1113,0,-1113,within target
2023-10-01,Sunshine Coast,11800,1325,0.112,11.23,27,10489,1311,1,1310,exits likely
2023-10-01,Torres and Cape,1054,111,0.105,10.53,29,872,182,228,-46,retention — patients trapped
2023-10-01,Townsville,3082,507,0.165,16.45,18,4109,-1027,0,-1027,within target
