quarter,catchment,clinic_name,total_waiting,total_waiting_adjusted,backlog,proportional_backlog
2020-01-01,Cairns and Hinterland,MAREEBA DENTAL CLINIC,1220,1220.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,ATHERTON DENTAL CLINIC,1086,1086.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,YARRABAH DENTAL CLINIC,1,1.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,TULLY DENTAL CLINIC,727,727.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,SMITHFIELD DENTAL CLINIC,980,980.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,MOSSMAN DENTAL CLINIC,535,535.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,INNISFAIL DENTAL CLINIC,1194,1194.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,GEORGETOWN DENTAL CLINIC,2,2.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,EDMONTON DENTAL CLINIC,1492,1492.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,CAIRNS NTH DENTAL CLINIC,2579,2579.00,0.00,0.0000
2020-01-01,Cairns and Hinterland,CROYDON DENTAL CLINIC,0,0.00,0.00,0
2020-01-01,Central Queensland,EMERALD DENTAL CLINIC,397,397.00,0.00,0.0000
2020-01-01,Central Queensland,CAPRICORN COAST DENTAL,1315,1315.00,0.00,0.0000
2020-01-01,Central Queensland,BILOELA DENTAL CLINIC,257,257.00,0.00,0.0000
2020-01-01,Central Queensland,GLADSTONE DENTAL CLINIC,1814,1814.00,0.00,0.0000
2020-01-01,Central Queensland,MT MORGAN DENTAL CLINIC,247,247.00,0.00,0.0000
2020-01-01,Central Queensland,ROCKHAMPTON DENTAL CLINIC,3343,3343.00,0.00,0.0000
2020-01-01,Central West,CENTRAL WEST DENTAL CLINICS,656,656.00,0.00,0.0000
2020-01-01,Darling Downs,DALBY DENTAL CLINIC,930,930.00,0.00,0.0000
2020-01-01,Darling Downs,WARWICK DENTAL CLINIC,626,626.00,0.00,0.0000
2020-01-01,Darling Downs,INGLEWOOD DENTAL CLINIC,174,174.00,0.00,0.0000
2020-01-01,Darling Downs,KINGAROY DENTAL CLINIC,2376,2376.00,0.00,0.0000
2020-01-01,Darling Downs,STANTHORPE DENTAL CLINIC,741,741.00,0.00,0.0000
2020-01-01,Darling Downs,TOOWOOMBA DENTAL CLINIC,3182,3182.00,0.00,0.0000
2020-01-01,Darling Downs,GOONDIWINDI DENTAL CLINIC,187,187.00,0.00,0.0000
2020-01-01,Darling Downs,MILES DENTAL CLINIC,347,347.00,0.00,0.0000
2020-01-01,Gold Coast,ROBINA DENTAL CLINIC,1152,1152.00,0.00,0.0000
2020-01-01,Gold Coast,PALM BEACH DENTAL CLINIC,927,927.00,0.00,0.0000
2020-01-01,Gold Coast,GC SOUTHPORT HEALTH PREC,3937,3937.00,0.00,0.0000
2020-01-01,Gold Coast,GCUH DENTAL CLINIC,10,10.00,0.00,0.0000
2020-01-01,Mackay,CLERMONT DENTAL CLINIC,70,70.00,0.00,0.0000
2020-01-01,Mackay,BOWEN DENTAL CLINIC,783,783.00,0.00,0.0000
2020-01-01,Mackay,MACKAY DENTAL CLINIC,4210,4210.00,0.00,0.0000
2020-01-01,Mackay,COLLINSVILLE DENTAL CLINI,149,149.00,0.00,0.0000
2020-01-01,Mackay,PROSERPINE DENTAL,1028,1028.00,0.00,0.0000
2020-01-01,Metro North,INDOOROOPILLY DENTAL,0,0.00,0.00,0
2020-01-01,Metro North,CABOOLTURE DENTAL CLINIC,5419,5419.00,0.00,0.0000
2020-01-01,Metro North,ORAL HEALTH CENTRE,3728,3728.00,0.00,0.0000
2020-01-01,Metro North,PINE RIVERS DENTAL CLINIC,2589,2589.00,0.00,0.0000
2020-01-01,Metro North,REDCLIFFE DENTAL CLINIC,3136,3136.00,0.00,0.0000
2020-01-01,Metro North,SANDGATE DENTAL CLINIC,1594,1594.00,0.00,0.0000
2020-01-01,Metro North,STAFFORD DENTAL CLINIC,2361,2361.00,0.00,0.0000
2020-01-01,Metro South,BEENLEIGH BEAUDESERT CLUS,10012,10012.00,0.00,0.0000
2020-01-01,Metro South,BAYSIDE CLUSTER,6855,6855.00,0.00,0.0000
2020-01-01,Metro South,MS INNER BRISBANE CLUSTER,4967,4967.00,0.00,0.0000
2020-01-01,Metro South,KINGSTON LOGAN CLUSTER,4622,4622.00,0.00,0.0000
2020-01-01,Metro South,NATHAN INALA CLUSTER,6946,6946.00,0.00,0.0000
2020-01-01,North West,MORNINGTON ISLAND DENTAL,156,156.00,0.00,0.0000
2020-01-01,North West,CLONCURRY DENTAL,99,99.00,0.00,0.0000
2020-01-01,North West,MT ISA DENTAL CLINIC,655,655.00,0.00,0.0000
2020-01-01,South West,SURAT DENTAL CLINIC,30,30.00,0.00,0.0000
2020-01-01,South West,ST GEORGE DENTAL CLINIC,90,90.00,0.00,0.0000
2020-01-01,South West,CHARLEVILLE DENTAL CLINIC,238,238.00,0.00,0.0000
2020-01-01,South West,INJUNE DENTAL CLINIC,17,17.00,0.00,0.0000
2020-01-01,South West,AUGATHELLA DENTAL CLINIC,10,10.00,0.00,0.0000
2020-01-01,South West,CUNNAMULLA DENTAL CLINIC,79,79.00,0.00,0.0000
2020-01-01,South West,MUNGINDI DENTAL CLINIC,21,21.00,0.00,0.0000
2020-01-01,South West,DIRRANBANDI DENTAL CLINIC,17,17.00,0.00,0.0000
2020-01-01,South West,MITCHELL DENTAL CLINIC,81,81.00,0.00,0.0000
2020-01-01,South West,THARGOMINDAH DENTAL SERVI,11,11.00,0.00,0.0000
2020-01-01,South West,ROMA HOSPITAL DENTAL CLIN,547,547.00,0.00,0.0000
2020-01-01,South West,QUILPIE DENTAL CLINIC,20,20.00,0.00,0.0000
2020-01-01,Sunshine Coast,NAMBOUR DENTAL CLINIC,1689,1689.00,0.00,0.0000
2020-01-01,Sunshine Coast,KAWANA DENTAL CLINIC,3064,3064.00,0.00,0.0000
2020-01-01,Sunshine Coast,GYMPIE DENTAL CLINIC,2247,2247.00,0.00,0.0000
2020-01-01,Sunshine Coast,CALOUNDRA DENTAL CLINIC,3523,3523.00,0.00,0.0000
2020-01-01,Sunshine Coast,NOOSA DENTAL CLINIC,1506,1506.00,0.00,0.0000
2020-01-01,Torres and Cape,TORRES STRAIT DENTAL CLINIC,232,232.00,0.00,0.0000
2020-01-01,Torres and Cape,CAPE YORK DENTAL CLINIC,399,399.00,0.00,0.0000
2020-01-01,Townsville,TOWNSVILLE DENTAL CLINIC,2060,2060.00,0.00,0.0000
2020-01-01,Townsville,RICHMOND DENTAL CLINIC,0,0.00,0.00,0
2020-01-01,Townsville,AYR DENTAL CLINIC,189,189.00,0.00,0.0000
2020-01-01,Townsville,INGHAM DENTAL CLINIC,163,163.00,0.00,0.0000
2020-01-01,Townsville,CHARTERS TOWERS DENTAL CL,294,294.00,0.00,0.0000
2020-01-01,Townsville,HUGHENDEN DENTAL CLINIC,5,5.00,0.00,0.0000
2020-01-01,West Moreton,LAIDLEY DENTAL CLINIC,1273,1282.00,9.00,0.0070
2020-01-01,West Moreton,BOONAH DENTAL CLINIC,403,408.00,5.00,0.0123
2020-01-01,West Moreton,IPSWICH DENTAL CLINIC,5424,5455.75,31.75,0.0058
2020-01-01,West Moreton,COLLINGWOOD PARK DENTAL C,1976,1991.25,15.25,0.0077
2020-01-01,West Moreton,ESK DENTAL CLINIC,606,611.25,5.25,0.0086
2020-01-01,West Moreton,GATTON DENTAL CLINIC,186,192.25,6.25,0.0325
2020-01-01,Wide Bay,MUNDUBBERA DENTAL CLINIC,105,105.00,0.00,0.0000
2020-01-01,Wide Bay,BUNDABERG DENTAL CLINIC,3558,3558.00,0.00,0.0000
2020-01-01,Wide Bay,GAYNDAH DENTAL CLINIC,296,296.00,0.00,0.0000
2020-01-01,Wide Bay,MONTO DENTAL CLINIC,62,62.00,0.00,0.0000
2020-01-01,Wide Bay,CHILDERS DENTAL CLINIC,228,228.00,0.00,0.0000
2020-01-01,Wide Bay,HERVEY BAY DENTAL CLINIC,2626,2626.00,0.00,0.0000
2020-01-01,Wide Bay,MARYBOROUGH DENTAL CLINIC,2074,2074.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,YARRABAH DENTAL CLINIC,3,3.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,TULLY DENTAL CLINIC,778,782.25,4.25,0.0054
2020-07-01,Cairns and Hinterland,CROYDON DENTAL CLINIC,1,1.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,EDMONTON DENTAL CLINIC,1793,1793.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,MAREEBA DENTAL CLINIC,1309,1309.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,GEORGETOWN DENTAL CLINIC,2,2.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,INNISFAIL DENTAL CLINIC,1247,1277.25,30.25,0.0237
2020-07-01,Cairns and Hinterland,MOSSMAN DENTAL CLINIC,640,640.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,SMITHFIELD DENTAL CLINIC,1258,1258.00,0.00,0.0000
2020-07-01,Cairns and Hinterland,ATHERTON DENTAL CLINIC,1270,1307.25,37.25,0.0285
2020-07-01,Cairns and Hinterland,CAIRNS NTH DENTAL CLINIC,3071,3071.00,0.00,0.0000
2020-07-01,Central Queensland,CAPRICORN COAST DENTAL,1422,1422.00,0.00,0.0000
2020-07-01,Central Queensland,GLADSTONE DENTAL CLINIC,1983,1983.00,0.00,0.0000
2020-07-01,Central Queensland,WOORABINDA DENTAL CLINIC,NULL,NULL,NULL,NULL
2020-07-01,Central Queensland,ROCKHAMPTON DENTAL CLINIC,3720,3720.00,0.00,0.0000
2020-07-01,Central Queensland,EMERALD DENTAL CLINIC,515,515.00,0.00,0.0000
2020-07-01,Central Queensland,MT MORGAN DENTAL CLINIC,225,225.00,0.00,0.0000
2020-07-01,Central Queensland,BILOELA DENTAL CLINIC,269,269.00,0.00,0.0000
2020-07-01,Central West,CENTRAL WEST DENTAL CLINICS,621,634.25,13.25,0.0209
2020-07-01,Darling Downs,GOONDIWINDI DENTAL CLINIC,158,158.00,0.00,0.0000
2020-07-01,Darling Downs,INGLEWOOD DENTAL CLINIC,143,143.00,0.00,0.0000
2020-07-01,Darling Downs,TOOWOOMBA DENTAL CLINIC,3455,3455.00,0.00,0.0000
2020-07-01,Darling Downs,MILES DENTAL CLINIC,356,356.00,0.00,0.0000
2020-07-01,Darling Downs,KINGAROY DENTAL CLINIC,2524,2524.00,0.00,0.0000
2020-07-01,Darling Downs,DALBY DENTAL CLINIC,935,935.00,0.00,0.0000
2020-07-01,Darling Downs,WARWICK DENTAL CLINIC,551,551.00,0.00,0.0000
2020-07-01,Darling Downs,STANTHORPE DENTAL CLINIC,641,641.00,0.00,0.0000
2020-07-01,Gold Coast,ROBINA DENTAL CLINIC,1710,1710.00,0.00,0.0000
2020-07-01,Gold Coast,PALM BEACH DENTAL CLINIC,1031,1031.00,0.00,0.0000
2020-07-01,Gold Coast,GCUH DENTAL CLINIC,13,13.00,0.00,0.0000
2020-07-01,Gold Coast,GC SOUTHPORT HEALTH PREC,4773,4773.00,0.00,0.0000
2020-07-01,Mackay,COLLINSVILLE DENTAL CLINI,156,156.00,0.00,0.0000
2020-07-01,Mackay,BOWEN DENTAL CLINIC,896,896.00,0.00,0.0000
2020-07-01,Mackay,CLERMONT DENTAL CLINIC,65,65.00,0.00,0.0000
2020-07-01,Mackay,MACKAY DENTAL CLINIC,4438,4438.00,0.00,0.0000
2020-07-01,Mackay,PROSERPINE DENTAL,1086,1086.00,0.00,0.0000
2020-07-01,Metro North,PINE RIVERS DENTAL CLINIC,2323,2323.00,0.00,0.0000
2020-07-01,Metro North,ORAL HEALTH CENTRE,4723,4723.00,0.00,0.0000
2020-07-01,Metro North,CABOOLTURE DENTAL CLINIC,4784,4784.00,0.00,0.0000
2020-07-01,Metro North,REDCLIFFE DENTAL CLINIC,2738,2738.25,0.25,0.0001
2020-07-01,Metro North,SANDGATE DENTAL CLINIC,1537,1537.00,0.00,0.0000
2020-07-01,Metro North,STAFFORD DENTAL CLINIC,2252,2252.00,0.00,0.0000
2020-07-01,Metro South,KINGSTON LOGAN CLUSTER,4841,4841.00,0.00,0.0000
2020-07-01,Metro South,NATHAN INALA CLUSTER,6988,6988.00,0.00,0.0000
2020-07-01,Metro South,BAYSIDE CLUSTER,7148,7148.00,0.00,0.0000
2020-07-01,Metro South,BEENLEIGH BEAUDESERT CLUS,10226,10226.00,0.00,0.0000
2020-07-01,Metro South,MS INNER BRISBANE CLUSTER,5466,5466.00,0.00,0.0000
2020-07-01,North West,MT ISA DENTAL CLINIC,667,667.00,0.00,0.0000
