quarter,clinic_id,clinic_name,clinic_waiting_total,clinic_treated_total,clinic_capacity,treatment_rate,quarters_to_treat,months_to_treat,catchment,catchment_waiting_total,catchment_treated_total,mean_capacity_pct,mean_treatment_rate,clinics_pct_of_catchment,catchment_pct_of_qld,region,region_pct_of_qld,clinic_pct_of_qld
2023-04-01,24,INNISFAIL DENTAL CLINIC,800,147,15.500,0.184,5,16,Cairns and Hinterland,8487,1340,13.636,0.158,0.094,0.0713,North,0.1594,0.0069
2023-04-01,25,MAREEBA DENTAL CLINIC,1153,118,9.300,0.102,10,29,Cairns and Hinterland,8487,1340,13.636,0.158,0.136,0.0713,North,0.1594,0.0093
2023-04-01,26,CAIRNS NTH DENTAL CLINIC,2457,391,13.700,0.159,6,19,Cairns and Hinterland,8487,1340,13.636,0.158,0.290,0.0713,North,0.1594,0.0209
2023-04-01,27,SMITHFIELD DENTAL CLINIC,787,138,14.900,0.175,6,17,Cairns and Hinterland,8487,1340,13.636,0.158,0.093,0.0713,North,0.1594,0.0068
2023-04-01,107,CAPE YORK DENTAL CLINIC,394,46,10.500,0.117,9,26,Torres and Cape,940,131,12.232,0.139,0.419,0.0079,North,0.1594,0.0032
2023-04-01,150,TORRES STRAIT DENTAL CLINIC,546,85,13.500,0.156,6,19,Torres and Cape,940,131,12.232,0.139,0.581,0.0079,North,0.1594,0.0046
2023-04-01,28,TULLY DENTAL CLINIC,467,135,22.400,0.289,3,10,Cairns and Hinterland,8487,1340,13.636,0.158,0.055,0.0713,North,0.1594,0.0044
2023-04-01,17,INGHAM DENTAL CLINIC,315,17,5.100,0.054,19,56,Townsville,2977,305,9.293,0.102,0.106,0.0250,North,0.1594,0.0024
2023-04-01,20,TOWNSVILLE DENTAL CLINIC,2265,247,9.800,0.109,9,28,Townsville,2977,305,9.293,0.102,0.761,0.0250,North,0.1594,0.0184
2023-04-01,19,CHARTERS TOWERS DENTAL CL,166,30,15.300,0.181,6,17,Townsville,2977,305,9.293,0.102,0.056,0.0250,North,0.1594,0.0014
2023-04-01,130,RICHMOND DENTAL CLINIC,5,0,0.000,0.000,NULL,NULL,Townsville,2977,305,9.293,0.102,0.002,0.0250,North,0.1594,0.0000
2023-04-01,81,HUGHENDEN DENTAL CLINIC,20,0,0.000,0.000,NULL,NULL,Townsville,2977,305,9.293,0.102,0.007,0.0250,North,0.1594,0.0001
