quarter,catchment,months_to_treat,patients_cleared_in_24mo,patients_beyond_24mo,long_waiting_patients,exit_results,exit_interpretation
2023-04-01,Cairns and Hinterland,19,10720,-2233,1,-2234,within target
2023-04-01,Central Queensland,18,11157,-2789,0,-2789,within target
2023-04-01,Central West,23,932,-39,0,-39,within target
2023-04-01,Darling Downs,26,8592,716,0,716,exits likely
2023-04-01,Gold Coast,26,9100,758,0,758,exits likely
2023-04-01,Mackay,19,8307,-1731,0,-1731,within target
2023-04-01,Metro North,8,37887,-25258,0,-25258,within target
2023-04-01,Metro South,19,33445,-6968,0,-6968,within target
2023-04-01,North West,71,240,469,125,344,exits likely
2023-04-01,South West,7,2863,-2028,0,-2028,within target
2023-04-01,Sunshine Coast,75,4112,8738,0,8738,exits likely
2023-04-01,Torres and Cape,22,1025,-85,188,-273,within target
2023-04-01,Townsville,29,2464,513,0,513,exits likely
2023-04-01,West Moreton,57,3064,4212,0,4212,exits likely
2023-04-01,Wide Bay,45,5818,5091,0,5091,exits likely
2023-07-01,Cairns and Hinterland,21,9529,-1191,0,-1191,within target
2023-07-01,Central Queensland,17,11425,-3332,0,-3332,within target
2023-07-01,Central West,28,553,92,0,92,exits likely
2023-07-01,Darling Downs,26,8487,707,0,707,exits likely
2023-07-01,Gold Coast,17,12261,-3576,0,-3576,within target
2023-07-01,Mackay,17,9072,-2646,0,-2646,within target
2023-07-01,Metro North,23,13984,-583,0,-583,within target
2023-07-01,Metro South,31,23216,6771,0,6771,exits likely
2023-07-01,North West,59,279,408,113,295,exits likely
2023-07-01,South West,8,2394,-1596,0,-1596,within target
2023-07-01,Sunshine Coast,23,11968,-499,0,-499,within target
2023-07-01,Torres and Cape,20,1244,-207,239,-446,within target
2023-07-01,Townsville,28,2679,447,0,447,exits likely
2023-07-01,West Moreton,36,4789,2394,0,2394,exits likely
2023-07-01,Wide Bay,33,7732,2899,0,2899,exits likely
2023-10-01,Cairns and Hinterland,31,6725,1961,0,1961,exits likely
2023-10-01,Central Queensland,25,8061,336,0,336,exits likely
2023-10-01,Central West,28,885,147,0,147,exits likely
2023-10-01,Darling Downs,33,7044,2641,0,2641,exits likely
2023-10-01,Gold Coast,25,8158,340,0,340,exits likely
2023-10-01,Mackay,48,3594,3593,7,3586,exits likely
2023-10-01,Metro North,27,12936,1617,0,1617,exits likely
2023-10-01,Metro South,43,16660,13190,0,13190,exits likely
2023-10-01,North West,111,152,550,83,467,exits likely
2023-10-01,South West,11,2055,-1113,0,-1113,within target
2023-10-01,Sunshine Coast,27,10489,1311,1,1310,exits likely
2023-10-01,Torres and Cape,29,872,182,228,-46,retention — patients trapped
2023-10-01,Townsville,18,4109,-1027,0,-1027,within target
2023-10-01,West Moreton,500,406,8055,622,7433,exits likely
2023-10-01,Wide Bay,38,7033,4102,0,4102,exits likely
2024-01-01,Cairns and Hinterland,19,10785,-2247,0,-2247,within target
2024-01-01,Central Queensland,18,11092,-2773,0,-2773,within target
2024-01-01,Central West,70,358,687,1,686,exits likely
2024-01-01,Darling Downs,25,8905,371,0,371,exits likely
2024-01-01,Gold Coast,27,7932,992,0,992,exits likely
2024-01-01,Mackay,19,8687,-1810,0,-1810,within target
2024-01-01,Metro North,24,14865,0,0,0,within target
2024-01-01,Metro South,33,23472,8802,0,8802,exits likely
2024-01-01,North West,27,520,65,52,13,exits likely
2024-01-01,South West,11,2267,-1228,0,-1228,within target
2024-01-01,Sunshine Coast,35,8111,3717,0,3717,exits likely
2024-01-01,Torres and Cape,18,1388,-347,233,-580,within target
2024-01-01,Townsville,28,2759,460,0,460,exits likely
2024-01-01,West Moreton,48,3992,3992,3,3989,exits likely
2024-01-01,Wide Bay,26,10314,860,0,860,exits likely
2024-04-01,Cairns and Hinterland,23,8994,-375,0,-375,within target
2024-04-01,Central Queensland,16,12255,-4085,0,-4085,within target
2024-04-01,Central West,25,945,39,1,38,exits likely
2024-04-01,Darling Downs,42,5775,4331,0,4331,exits likely
2024-04-01,Gold Coast,32,6833,2278,0,2278,exits likely
2024-04-01,Mackay,21,7952,-994,0,-994,within target
2024-04-01,Metro North,18,21541,-5385,0,-5385,within target
2024-04-01,Metro South,36,20498,10249,0,10249,exits likely
2024-04-01,North West,24,554,0,3,-3,within target
2024-04-01,South West,12,2116,-1058,0,-1058,within target
2024-04-01,Sunshine Coast,73,4264,8707,2,8705,exits likely
2024-04-01,Torres and Cape,23,1123,-47,303,-350,within target
2024-04-01,Townsville,29,2818,587,0,587,exits likely
2024-04-01,West Moreton,107,2136,7388,841,6547,exits likely
2024-04-01,Wide Bay,36,7667,3834,0,3834,exits likely
2024-07-01,Cairns and Hinterland,19,10797,-2249,1,-2250,within target
2024-07-01,Central Queensland,15,12752,-4782,0,-4782,within target
2024-07-01,Central West,24,1020,0,2,-2,within target
2024-07-01,Darling Downs,33,7411,2779,0,2779,exits likely
2024-07-01,Gold Coast,28,8208,1368,0,1368,exits likely
2024-07-01,Mackay,7,21552,-15266,0,-15266,within target
2024-07-01,Metro North,27,15935,1992,0,1992,exits likely
2024-07-01,Metro South,29,26542,5530,0,5530,exits likely
2024-07-01,North West,6,1552,-1164,0,-1164,within target
2024-07-01,South West,9,2923,-1827,0,-1827,within target
2024-07-01,Sunshine Coast,32,9254,3085,0,3085,exits likely
