date,clinic_name,visit_type,backlog_severity
2020-02-29,ATHERTON DENTAL CLINIC,Clinical Assessment,20.00
2020-02-29,ATHERTON DENTAL CLINIC,General,4053.75
2020-02-29,ATHERTON DENTAL CLINIC,Priority 3,397.50
2020-02-29,AUGATHELLA DENTAL CLINIC,General,33.75
2020-02-29,AUGATHELLA DENTAL CLINIC,Priority 3,7.50
2020-02-29,AYR DENTAL CLINIC,Clinical Assessment,10.00
2020-02-29,AYR DENTAL CLINIC,General,637.50
2020-02-29,AYR DENTAL CLINIC,Priority 2,10.00
2020-02-29,AYR DENTAL CLINIC,Priority 3,138.75
2020-02-29,BAYSIDE CLUSTER,Clinical Assessment,0.00
2020-02-29,BAYSIDE CLUSTER,General,26118.75
2020-02-29,BAYSIDE CLUSTER,General Anaesthetic Category 2,0.00
2020-02-29,BAYSIDE CLUSTER,Priority 2,0.00
2020-02-29,BAYSIDE CLUSTER,Priority 3,146.25
2020-02-29,BEENLEIGH BEAUDESERT CLUS,Clinical Assessment,10.00
2020-02-29,BEENLEIGH BEAUDESERT CLUS,General,37473.75
2020-02-29,BEENLEIGH BEAUDESERT CLUS,General Anaesthetic Category 3,0.00
2020-02-29,BEENLEIGH BEAUDESERT CLUS,Priority 1,0.00
2020-02-29,BEENLEIGH BEAUDESERT CLUS,Priority 3,71.25
2020-02-29,BILOELA DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,BILOELA DENTAL CLINIC,General,945.00
2020-02-29,BILOELA DENTAL CLINIC,Priority 1,10.00
2020-02-29,BILOELA DENTAL CLINIC,Priority 2,210.00
2020-02-29,BILOELA DENTAL CLINIC,Priority 3,33.75
2020-02-29,BOONAH DENTAL CLINIC,General,1492.50
2020-02-29,BOONAH DENTAL CLINIC,Priority 2,90.00
2020-02-29,BOWEN DENTAL CLINIC,Clinical Assessment,0.00
2020-02-29,BOWEN DENTAL CLINIC,General,2996.25
2020-02-29,BOWEN DENTAL CLINIC,Priority 2,0.00
