quarter_start,waiting,treated,treatment_rate,percentage_treated,quarters_to_treat,months_to_treat
2020-01-01,145804,11421,0.078,7.83,12.821,38.46
2020-07-01,154053,14310,0.093,9.29,10.753,32.26
2020-10-01,152303,11037,0.072,7.25,13.889,41.67
2021-01-01,153730,22190,0.144,14.43,6.944,20.83
2021-04-01,154388,21002,0.136,13.60,7.353,22.06
2022-07-01,139242,31551,0.227,22.66,4.405,13.22
2022-10-01,135958,25339,0.186,18.64,5.376,16.13
2023-04-01,130958,27343,0.209,20.88,4.785,14.35
2023-07-01,134322,25342,0.189,18.87,5.291,15.87
2023-10-01,141818,19037,0.134,13.42,7.463,22.39
2024-01-01,143972,24513,0.170,17.03,5.882,17.65
2024-04-01,149074,22403,0.150,15.03,6.667,20.00
2024-07-01,149457,29177,0.195,19.52,5.128,15.38
2024-10-01,154592,21655,0.140,14.01,7.143,21.43
2025-01-01,157717,22147,0.140,14.04,7.143,21.43
2025-04-01,166104,20020,0.121,12.05,8.264,24.79
