quarter_start,waiting,treated
2020-01-01 00:00:00+10,145432,11378
2020-04-01 00:00:00+10,NULL,NULL
2020-07-01 00:00:00+10,152951,14188
2020-10-01 00:00:00+10,NULL,NULL
2021-01-01 00:00:00+10,153112,22147
2021-04-01 00:00:00+10,155407,20971
2021-07-01 00:00:00+10,NULL,NULL
2021-10-01 00:00:00+10,NULL,NULL
2022-01-01 00:00:00+10,NULL,NULL
2022-04-01 00:00:00+10,NULL,NULL
2022-07-01 00:00:00+10,136812,31515
2022-10-01 00:00:00+10,136019,25142
2023-01-01 00:00:00+10,NULL,NULL
2023-04-01 00:00:00+10,134453,27305
2023-07-01 00:00:00+10,134322,25342
2023-10-01 00:00:00+10,141818,19037
2024-01-01 00:00:00+10,143972,24513
2024-04-01 00:00:00+10,149074,22403
2024-07-01 00:00:00+10,149457,29177
2024-10-01 00:00:00+10,154592,21655
2025-01-01 00:00:00+10,157717,22147
2025-04-01 00:00:00+10,166104,20020
