quarter,clinic_id,clinic_name,clinic_waiting_total,clinic_treated_total,clinic_treatment_ratio,clinic_treatment_pct,quarters_to_treat,months_to_treat,catchment,catchment_waiting_total,catchment_treated_total,mean_ratio,clinics_pct_of_catchment,catchment_pct_of_qld,clinic_pct_of_qld
2023-04-01,136,GEORGETOWN DENTAL CLINIC,1,2,2.000,200.00,1,2,Cairns and Hinterland,8481,1341,0.137,0.000,0.0731,0.000008614748449345279118
2023-07-01,52,GATTON DENTAL CLINIC,1,0,0.000,0.00,NULL,NULL,West Moreton,7183,599,0.077,0.000,0.0600,0.000008354218880534670008
2024-04-01,135,YARRABAH DENTAL CLINIC,1,51,51.000,5100.00,0,0,Cairns and Hinterland,8619,1150,0.118,0.000,0.0658,0.000007637085688101420498
2023-10-01,52,GATTON DENTAL CLINIC,1,0,0.000,0.00,NULL,NULL,West Moreton,8461,52,0.006,0.000,0.0677,0.000007995906096078807650
2024-07-01,64,THARGOMINDAH DENTAL SERVI,2,0,0.000,0.00,NULL,NULL,South West,1096,352,0.243,0.002,0.0083,0.000015194797301403999271
2023-04-01,122,AUGATHELLA DENTAL CLINIC,2,0,0.000,0.00,NULL,NULL,South West,859,356,0.293,0.002,0.0074,0.000017229496898690558236
2023-04-01,135,YARRABAH DENTAL CLINIC,2,13,6.500,650.00,0,0,Cairns and Hinterland,8481,1341,0.137,0.000,0.0731,0.000017229496898690558236
2024-01-01,52,GATTON DENTAL CLINIC,2,0,0.000,0.00,NULL,NULL,West Moreton,7983,494,0.058,0.000,0.0629,0.000015749643664312094939
2024-04-01,130,RICHMOND DENTAL CLINIC,3,5,1.667,166.67,1,2,Townsville,3405,352,0.094,0.001,0.0260,0.000022911257064304261494
2024-04-01,52,GATTON DENTAL CLINIC,3,0,0.000,0.00,NULL,NULL,West Moreton,9524,270,0.028,0.000,0.0727,0.000022911257064304261494
2024-01-01,130,RICHMOND DENTAL CLINIC,3,3,1.000,100.00,1,3,Townsville,3219,344,0.097,0.001,0.0253,0.000023624465496468142408
2024-10-01,135,YARRABAH DENTAL CLINIC,3,56,18.667,1866.67,0,0,Cairns and Hinterland,9252,996,0.097,0.000,0.0679,0.000022020611292169470625
2023-07-01,64,THARGOMINDAH DENTAL SERVI,3,0,0.000,0.00,NULL,NULL,South West,798,288,0.265,0.004,0.0067,0.000025062656641604010025
2023-10-01,64,THARGOMINDAH DENTAL SERVI,3,0,0.000,0.00,NULL,NULL,South West,942,255,0.213,0.003,0.0075,0.000023987718288236422951
2024-01-01,64,THARGOMINDAH DENTAL SERVI,3,0,0.000,0.00,NULL,NULL,South West,1039,280,0.212,0.003,0.0082,0.000023624465496468142408
2024-07-01,52,GATTON DENTAL CLINIC,3,0,0.000,0.00,NULL,NULL,West Moreton,9226,985,0.096,0.000,0.0701,0.000022792195952105998906
2023-04-01,64,THARGOMINDAH DENTAL SERVI,3,0,0.000,0.00,NULL,NULL,South West,859,356,0.293,0.003,0.0074,0.000025844245348035837354
2023-04-01,130,RICHMOND DENTAL CLINIC,4,0,0.000,0.00,NULL,NULL,Townsville,2930,305,0.094,0.001,0.0252,0.000034458993797381116471
2023-10-01,130,RICHMOND DENTAL CLINIC,4,0,0.000,0.00,NULL,NULL,Townsville,3082,507,0.141,0.001,0.0246,0.000031983624384315230602
2024-07-01,130,RICHMOND DENTAL CLINIC,4,1,0.250,25.00,4,12,Townsville,3354,404,0.108,0.001,0.0255,0.000030389594602807998541
2023-07-01,130,RICHMOND DENTAL CLINIC,5,2,0.400,40.00,3,8,Townsville,3126,334,0.097,0.002,0.0261,0.000041771094402673350042
2024-10-01,130,RICHMOND DENTAL CLINIC,5,1,0.200,20.00,5,15,Townsville,3457,329,0.087,0.001,0.0254,0.000036701018820282451041
2025-01-01,130,RICHMOND DENTAL CLINIC,6,0,0.000,0.00,NULL,NULL,Townsville,3477,461,0.117,0.002,0.0248,0.000042806692112866978204
2025-04-01,130,RICHMOND DENTAL CLINIC,6,0,0.000,0.00,NULL,NULL,Townsville,3712,305,0.076,0.002,0.0251,0.000040619584055459272097
2025-01-01,52,GATTON DENTAL CLINIC,7,0,0.000,0.00,NULL,NULL,West Moreton,9953,312,0.030,0.001,0.0710,0.000049941140798344807905
2024-10-01,52,GATTON DENTAL CLINIC,7,0,0.000,0.00,NULL,NULL,West Moreton,10032,453,0.043,0.001,0.0736,0.000051381426348395431457
2024-04-01,81,HUGHENDEN DENTAL CLINIC,7,6,0.857,85.71,1,4,Townsville,3405,352,0.094,0.002,0.0260,0.000053459599816709943486
2025-04-01,52,GATTON DENTAL CLINIC,8,0,0.000,0.00,NULL,NULL,West Moreton,11456,456,0.038,0.001,0.0776,0.000054159445407279029463
2024-07-01,81,HUGHENDEN DENTAL CLINIC,9,1,0.111,11.11,9,27,Townsville,3354,404,0.108,0.003,0.0255,0.000068376587856317996718
2024-01-01,81,HUGHENDEN DENTAL CLINIC,9,3,0.333,33.33,3,9,Townsville,3219,344,0.097,0.003,0.0253,0.000070873396489404427225
2024-04-01,123,DIRRANBANDI DENTAL CLINIC,10,1,0.100,10.00,10,30,South West,1058,262,0.198,0.009,0.0081,0.000076370856881014204979
2024-10-01,64,THARGOMINDAH DENTAL SERVI,11,0,0.000,0.00,NULL,NULL,South West,1118,302,0.213,0.010,0.0082,0.000080742241404621392290
2024-10-01,123,DIRRANBANDI DENTAL CLINIC,11,0,0.000,0.00,NULL,NULL,South West,1118,302,0.213,0.010,0.0082,0.000080742241404621392290
2023-04-01,127,MUNGINDI DENTAL CLINIC,11,5,0.455,45.45,2,7,South West,859,356,0.293,0.013,0.0074,0.000094762232942798070296
2024-07-01,127,MUNGINDI DENTAL CLINIC,12,6,0.500,50.00,2,6,South West,1096,352,0.243,0.011,0.0083,0.000091168783808423995624
2025-04-01,124,INJUNE DENTAL CLINIC,12,1,0.083,8.33,12,36,South West,1275,257,0.168,0.009,0.0086,0.000081239168110918544194
2023-10-01,127,MUNGINDI DENTAL CLINIC,12,7,0.583,58.33,2,5,South West,942,255,0.213,0.013,0.0075,0.000095950873152945691806
2023-07-01,127,MUNGINDI DENTAL CLINIC,12,4,0.333,33.33,3,9,South West,798,288,0.265,0.015,0.0067,0.00010025062656641604
2025-04-01,129,SURAT DENTAL CLINIC,13,13,1.000,100.00,1,3,South West,1275,257,0.168,0.010,0.0086,0.000088009098786828422877
2024-07-01,123,DIRRANBANDI DENTAL CLINIC,13,7,0.538,53.85,2,6,South West,1096,352,0.243,0.012,0.0083,0.000098766182459125995259
2024-01-01,127,MUNGINDI DENTAL CLINIC,13,0,0.000,0.00,NULL,NULL,South West,1039,280,0.212,0.013,0.0082,0.00010237268381802862
2024-04-01,127,MUNGINDI DENTAL CLINIC,14,1,0.071,7.14,14,42,South West,1058,262,0.198,0.013,0.0081,0.00010691919963341989
2025-01-01,64,THARGOMINDAH DENTAL SERVI,15,0,0.000,0.00,NULL,NULL,South West,1230,410,0.250,0.012,0.0088,0.00010701673028216745
2023-04-01,129,SURAT DENTAL CLINIC,15,14,0.933,93.33,1,3,South West,859,356,0.293,0.017,0.0074,0.00012922122674017919
2024-10-01,81,HUGHENDEN DENTAL CLINIC,15,2,0.133,13.33,8,23,Townsville,3457,329,0.087,0.004,0.0254,0.00011010305646084735
2024-10-01,127,MUNGINDI DENTAL CLINIC,15,0,0.000,0.00,NULL,NULL,South West,1118,302,0.213,0.013,0.0082,0.00011010305646084735
2023-04-01,123,DIRRANBANDI DENTAL CLINIC,15,2,0.133,13.33,8,23,South West,859,356,0.293,0.017,0.0074,0.00012922122674017919
2023-10-01,81,HUGHENDEN DENTAL CLINIC,16,3,0.188,18.75,5,16,Townsville,3082,507,0.141,0.005,0.0246,0.00012793449753726092
2025-01-01,123,DIRRANBANDI DENTAL CLINIC,16,3,0.188,18.75,5,16,South West,1230,410,0.250,0.013,0.0088,0.00011415117896764528
2025-04-01,64,THARGOMINDAH DENTAL SERVI,16,0,0.000,0.00,NULL,NULL,South West,1275,257,0.168,0.013,0.0086,0.00010831889081455806
2023-10-01,123,DIRRANBANDI DENTAL CLINIC,16,0,0.000,0.00,NULL,NULL,South West,942,255,0.213,0.017,0.0075,0.00012793449753726092
2023-07-01,123,DIRRANBANDI DENTAL CLINIC,16,0,0.000,0.00,NULL,NULL,South West,798,288,0.265,0.020,0.0067,0.00013366750208855472
2024-10-01,124,INJUNE DENTAL CLINIC,16,0,0.000,0.00,NULL,NULL,South West,1118,302,0.213,0.014,0.0082,0.00011744326022490384
2023-07-01,124,INJUNE DENTAL CLINIC,17,4,0.235,23.53,4,13,South West,798,288,0.265,0.021,0.0067,0.00014202172096908939
2023-07-01,129,SURAT DENTAL CLINIC,17,9,0.529,52.94,2,6,South West,798,288,0.265,0.021,0.0067,0.00014202172096908939
2025-04-01,123,DIRRANBANDI DENTAL CLINIC,17,2,0.118,11.76,8,25,South West,1275,257,0.168,0.013,0.0086,0.00011508882149046794
2025-01-01,124,INJUNE DENTAL CLINIC,18,8,0.444,44.44,2,7,South West,1230,410,0.250,0.015,0.0088,0.00012842007633860093
2023-10-01,124,INJUNE DENTAL CLINIC,19,0,0.000,0.00,NULL,NULL,South West,942,255,0.213,0.020,0.0075,0.00015192221582549735
2025-01-01,127,MUNGINDI DENTAL CLINIC,19,7,0.368,36.84,3,8,South West,1230,410,0.250,0.015,0.0088,0.00013555452502407876
2023-07-01,128,QUILPIE DENTAL CLINIC,19,13,0.684,68.42,1,4,South West,798,288,0.265,0.024,0.0067,0.00015873015873015873
2025-01-01,81,HUGHENDEN DENTAL CLINIC,19,1,0.053,5.26,19,57,Townsville,3477,461,0.117,0.005,0.0248,0.00013555452502407876
2024-01-01,128,QUILPIE DENTAL CLINIC,19,3,0.158,15.79,6,19,South West,1039,280,0.212,0.018,0.0082,0.00014962161481096490
2024-07-01,124,INJUNE DENTAL CLINIC,19,0,0.000,0.00,NULL,NULL,South West,1096,352,0.243,0.017,0.0083,0.00014435057436333799
2023-04-01,81,HUGHENDEN DENTAL CLINIC,20,0,0.000,0.00,NULL,NULL,Townsville,2930,305,0.094,0.007,0.0252,0.00017229496898690558
2025-04-01,81,HUGHENDEN DENTAL CLINIC,20,0,0.000,0.00,NULL,NULL,Townsville,3712,305,0.076,0.005,0.0251,0.00013539861351819757
2024-01-01,124,INJUNE DENTAL CLINIC,20,0,0.000,0.00,NULL,NULL,South West,1039,280,0.212,0.019,0.0082,0.00015749643664312095
2024-04-01,128,QUILPIE DENTAL CLINIC,21,5,0.238,23.81,4,13,South West,1058,262,0.198,0.020,0.0081,0.00016037879945012983
2023-07-01,81,HUGHENDEN DENTAL CLINIC,21,1,0.048,4.76,21,62,Townsville,3126,334,0.097,0.007,0.0261,0.00017543859649122807
2024-01-01,123,DIRRANBANDI DENTAL CLINIC,21,5,0.238,23.81,4,13,South West,1039,280,0.212,0.020,0.0082,0.00016537125847527700
2025-04-01,127,MUNGINDI DENTAL CLINIC,21,1,0.048,4.76,21,62,South West,1275,257,0.168,0.016,0.0086,0.00014216854419410745
