date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2020-08-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,10,5,0,0,0,0,67,3,2,0,0,0,0,60
2020-08-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1663,1494,0,0,0,0,100,0,0,18,1,0,0,0
2020-08-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2020-08-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,108,41,26,1,0,0,61,0,0,8,2,0,0,0
2020-08-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,59,63,0,0,0,0,100,0,0,0,1,1,0,0
2020-08-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,10,9,0,0,0,0,53
2020-08-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1916,1785,0,0,0,0,100,0,0,21,0,0,0,0
2020-08-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,33,0,0,0,0,0,100,4,9,0,0,0,0,31
2020-08-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,80,79,14,9,18,3,78,0,4,6,0,0,9,21
2020-08-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,6,10,0,0,0,0,38,0,1,4,0,0,0,0
2020-08-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1158,1219,0,0,0,0,100,0,0,10,0,0,0,0
2020-08-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 1,1,0,0,0,0,0,100,0,0,1,0,0,0,0
2020-08-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,1,2,1,0,0,0,25,0,2,0,0,0,0,0
2020-08-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,2,1,6,0,0,0,33,0,0,0,0,0,0,-
2020-08-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,4,0,0,0,0,0,100,0,1,1,0,0,0,0
2020-08-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,55,33,56,12,0,0,35,0,0,1,1,0,0,0
2020-08-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,86,99,68,7,17,3,66,0,1,0,0,0,0,100
2020-08-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,17,2,0,0,0,0,89
2020-08-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1058,762,0,0,0,0,100,0,5,13,0,0,0,28
2020-08-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 1,1,0,0,0,0,0,100,0,1,0,0,0,0,0
2020-08-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,31,25,34,2,0,0,34,1,2,6,3,0,0,8
2020-08-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,75,91,57,10,0,0,71,0,0,4,0,0,0,0
2020-08-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,9,1,0,0,0,0,90,0,2,0,0,0,0,0
2020-08-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,854,700,0,0,0,0,100,0,3,9,1,0,0,23
2020-08-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,80,13,11,0,0,0,77,0,1,9,0,0,0,0
2020-08-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,73,84,15,0,0,0,91,0,0,12,0,0,0,0
2020-08-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,5,0,0,0,0,0,100,0,0,0,0,0,0,-
2020-08-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General,1443,1171,0,0,0,0,100,0,0,0,0,0,0,-
2020-08-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,9,12,13,3,2,0,23,0,0,0,0,0,0,-
2020-08-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,17,31,2,0,0,0,96,0,0,0,0,0,0,-
2020-08-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,0,3,1,6,2,107,0,0,0,0,0,0,0,-
2020-08-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,4,22,42,40,27,79,2,0,0,0,0,0,0,-
2020-08-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,49,178,196,129,109,9,34,0,0,0,0,0,0,-
2020-08-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,4,0,0,0,0,0,100,0,1,0,0,0,0,0
2020-08-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General,2305,2192,0,0,0,0,100,0,0,1,0,0,0,0
2020-08-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,1,0,0,0,0,0,100,1,1,0,0,2,2,17
2020-08-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,1,0,0,0,0,0,100,1,3,1,0,0,0,80
2020-08-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 1,15,11,11,12,3,53,14,1,0,0,0,0,13,7
2020-08-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 2,61,56,96,103,109,63,13,0,0,0,0,3,0,0
2020-08-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 3,196,294,306,405,240,0,34,0,0,0,0,1,0,0
2020-08-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2020-08-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,General,646,365,0,0,0,0,100,0,0,0,0,0,0,-
2020-08-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 2,4,8,10,7,0,0,14,0,0,0,0,0,0,-
2020-08-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 3,5,44,54,0,0,0,48,0,0,0,0,0,0,-
2020-08-31,10,ROBINA DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2020-08-31,10,ROBINA DENTAL CLINIC,Gold Coast,General,1220,441,0,0,0,0,100,0,0,0,0,0,0,-
2020-08-31,10,ROBINA DENTAL CLINIC,Gold Coast,General Anaesthetic Category 3,0,1,0,0,0,0,100,0,0,0,0,0,0,-
2020-08-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 1,6,1,0,0,1,1,67,1,2,4,0,0,1,13
2020-08-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 2,29,37,16,0,0,0,35,0,0,0,0,0,0,-
2020-08-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 3,62,54,38,3,1,0,73,0,0,0,0,0,0,-
2020-08-31,13,BOWEN DENTAL CLINIC,Mackay,General,660,235,0,0,0,0,100,0,18,0,0,0,0,100
2020-08-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 2,7,0,0,0,0,0,100,0,0,0,0,0,0,-
2020-08-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 3,13,28,0,0,0,0,100,0,5,1,0,0,0,83
2020-08-31,14,AYR DENTAL CLINIC,Townsville,Clinical Assessment,0,0,0,0,0,0,-,0,3,0,0,0,0,0
2020-08-31,14,AYR DENTAL CLINIC,Townsville,General,142,10,0,0,0,0,100,1,8,0,0,0,0,100
2020-08-31,14,AYR DENTAL CLINIC,Townsville,General Anaesthetic Category 2,0,0,0,0,0,0,-,1,1,0,0,0,0,50
2020-08-31,14,AYR DENTAL CLINIC,Townsville,Priority 1,1,0,0,0,0,0,100,0,3,0,0,0,0,0
2020-08-31,14,AYR DENTAL CLINIC,Townsville,Priority 2,1,0,0,0,0,0,100,0,1,0,0,0,0,0
2020-08-31,14,AYR DENTAL CLINIC,Townsville,Priority 3,28,34,0,0,0,0,100,0,0,6,0,0,0,0
2020-08-31,15,MORNINGTON ISLAND DENTAL,North West,Clinical Assessment,1,0,0,0,0,0,100,0,0,1,1,0,0,0
2020-08-31,15,MORNINGTON ISLAND DENTAL,North West,General,123,67,0,0,0,0,100,4,4,0,0,0,0,100
