date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2020-07-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,8,0,0,0,0,0,100,1,7,4,0,0,0,8
2020-07-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1662,1616,63,0,0,0,98,3,1,2,1,0,0,57
2020-07-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,69,60,9,1,0,0,50,0,0,1,1,2,0,0
2020-07-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,54,53,0,0,0,0,100,0,0,0,0,0,0,-
2020-07-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,4,0,0,0,0,0,100,5,16,0,0,0,0,24
2020-07-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1947,1867,87,0,0,0,98,2,0,1,0,0,0,67
2020-07-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,36,0,0,0,0,0,100,1,10,5,0,0,0,6
2020-07-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,83,105,8,9,19,7,81,0,8,2,0,0,3,62
2020-07-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,11,0,0,0,0,0,100,0,2,4,4,0,0,0
2020-07-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1161,1266,37,0,0,0,98,1,0,1,0,0,0,50
2020-07-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,2,1,1,0,0,0,50,0,2,1,0,0,0,0
2020-07-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,2,3,5,0,0,0,50,0,0,1,0,0,0,0
2020-07-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,3,0,0,0,0,0
2020-07-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,45,49,43,0,0,0,33,0,0,0,0,0,1,0
2020-07-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,91,109,49,7,19,3,72,0,0,0,0,0,0,-
2020-07-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,0,6,0,1,0,0,0
2020-07-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1025,863,22,0,0,0,99,0,0,0,0,0,0,-
