date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2020-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,4,4,0,0,0,0,50,0,2,2,0,0,0,0
2020-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1732,1332,0,0,0,0,100,0,2,1,0,0,0,67
2020-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2020-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,59,5,4,0,0,0,87,1,20,3,0,0,0,4
2020-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,65,5,0,0,0,0,100,0,3,0,0,0,0,100
2020-03-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,0,8,0,0,0,0,0
2020-03-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,2073,1450,0,0,0,0,100,1,0,0,0,0,0,100
2020-03-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,29,0,0,0,0,0,100,0,5,1,1,0,0,0
2020-03-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,74,65,8,17,17,13,72,0,11,2,0,0,1,79
2020-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,10,9,1,0,0,0,50,0,0,3,0,0,0,0
2020-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1310,937,0,0,0,0,100,0,7,5,0,0,0,58
2020-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,0,1,0,0,0,0
2020-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,6,1,0,0,0,0,86,0,0,0,1,0,0,0
2020-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,2,13,0,0,0,0,100,0,0,0,0,0,0,-
2020-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,1,0,0,0,0,0,100,0,0,0,1,0,0,0
2020-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,50,33,0,0,0,0,60,0,1,1,0,0,0,0
2020-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,92,84,9,18,13,4,80,0,0,2,0,0,0,0
2020-03-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,0,1,0,0,0,0,0
2020-03-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1029,660,0,0,0,0,100,0,2,2,0,0,0,50
2020-03-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,30,30,0,0,0,0,50,0,7,10,0,0,0,0
2020-03-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,86,70,23,0,0,0,87,0,0,2,0,1,0,0
2020-03-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,8,0,0,0,0,0,100,0,1,1,0,0,0,0
2020-03-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,873,633,0,0,0,0,100,1,5,4,0,0,0,60
2020-03-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,41,5,4,0,0,0,82,1,8,1,0,1,0,9
2020-03-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,72,50,0,0,0,0,100,0,1,0,0,0,0,100
2020-03-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,0,0,0,0,0,0,-,0,0,1,0,0,0,0
2020-03-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General,1764,1372,0,0,0,0,100,0,0,40,0,0,0,0
2020-03-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,27,8,3,1,0,0,69,0,0,0,0,0,0,-
2020-03-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,47,4,0,0,0,0,100,0,1,0,0,0,0,100
2020-03-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,29,15,11,10,14,28,27,0,2,6,3,5,9,0
2020-03-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,42,38,33,39,47,7,20,0,1,0,0,0,0,0
2020-03-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,191,220,161,127,15,0,58,0,0,10,0,5,0,0
2020-03-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,3,0,0,0,0,0,100,0,0,0,0,0,0,-
2020-03-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General,2817,2602,0,0,0,0,100,1,22,33,0,0,0,41
2020-03-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2020-03-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,0,0,0,0,0,0,-,0,0,2,5,0,0,0
2020-03-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,0,0,0,0,0,0,-,1,1,0,0,0,0,100
2020-03-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 1,7,21,22,10,20,4,8,0,0,2,3,0,9,0
2020-03-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 2,101,101,118,94,1,0,24,0,0,0,3,0,1,0
2020-03-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 3,293,305,388,363,0,0,44,0,0,0,4,1,0,0
2020-03-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2020-03-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,General,881,46,0,0,0,0,100,0,1,1,0,0,0,50
2020-03-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 1,4,0,0,0,0,0,100,0,4,4,0,0,0,0
2020-03-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 2,14,7,0,0,0,0,67,0,0,1,4,0,0,0
2020-03-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 3,35,61,2,0,0,0,98,0,0,3,0,0,0,0
2020-03-31,10,ROBINA DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2020-03-31,10,ROBINA DENTAL CLINIC,Gold Coast,General,1077,75,0,0,0,0,100,0,8,0,0,0,0,100
2020-03-31,10,ROBINA DENTAL CLINIC,Gold Coast,General Anaesthetic Category 3,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2020-03-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 1,3,1,0,0,0,0,75,0,6,1,1,1,0,0
2020-03-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 2,22,4,0,0,0,0,85,0,4,0,1,0,0,0
2020-03-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 3,56,40,9,0,0,0,91,0,0,6,0,0,0,0
2020-03-31,13,BOWEN DENTAL CLINIC,Mackay,Clinical Assessment,0,0,0,0,0,0,-,1,1,0,0,0,0,50
2020-03-31,13,BOWEN DENTAL CLINIC,Mackay,General,772,11,0,0,0,0,100,12,12,0,0,0,0,100
2020-03-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 2,4,0,0,0,0,0,100,1,0,0,0,0,0,100
2020-03-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 3,41,13,0,0,0,0,100,0,0,0,0,0,0,-
2020-03-31,14,AYR DENTAL CLINIC,Townsville,Clinical Assessment,0,0,0,0,0,0,-,0,0,1,0,0,0,0
2020-03-31,14,AYR DENTAL CLINIC,Townsville,General,186,3,0,0,0,0,100,0,6,0,0,0,0,100
2020-03-31,14,AYR DENTAL CLINIC,Townsville,General Anaesthetic Category 2,0,0,0,0,0,0,-,2,0,0,0,0,0,100
2020-03-31,14,AYR DENTAL CLINIC,Townsville,Priority 3,32,14,0,0,0,0,100,0,8,2,0,0,0,80
2020-03-31,15,MORNINGTON ISLAND DENTAL,North West,General,128,28,0,0,0,0,100,0,3,0,0,0,0,100
2020-03-31,15,MORNINGTON ISLAND DENTAL,North West,Priority 1,0,0,0,0,1,0,0,0,0,0,0,0,0,-
2020-03-31,15,MORNINGTON ISLAND DENTAL,North West,Priority 2,0,0,0,0,0,35,0,0,0,0,0,0,0,-
2020-03-31,15,MORNINGTON ISLAND DENTAL,North West,Priority 3,3,1,6,10,42,3,6,0,0,0,0,0,0,-
2020-03-31,16,MT ISA DENTAL CLINIC,North West,Clinical Assessment,0,1,0,0,0,0,0,0,0,0,0,0,0,-
2020-03-31,16,MT ISA DENTAL CLINIC,North West,General,418,237,0,0,0,0,100,2,6,0,0,0,0,100
2020-03-31,16,MT ISA DENTAL CLINIC,North West,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2020-03-31,16,MT ISA DENTAL CLINIC,North West,General Anaesthetic Category 3,26,15,8,0,0,0,84,9,3,0,0,0,0,100
2020-03-31,16,MT ISA DENTAL CLINIC,North West,Priority 1,1,0,0,0,0,1,50,0,0,1,0,0,0,0
2020-03-31,16,MT ISA DENTAL CLINIC,North West,Priority 3,43,8,3,0,0,0,94,2,1,0,0,0,0,100
2020-03-31,17,INGHAM DENTAL CLINIC,Townsville,Clinical Assessment,0,0,0,0,0,0,-,0,1,2,0,0,0,0
2020-03-31,17,INGHAM DENTAL CLINIC,Townsville,General,163,0,0,0,0,0,100,10,1,0,0,0,0,100
2020-03-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2020-03-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 2,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2020-03-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 3,37,0,0,0,0,0,100,0,4,0,0,0,0,100
2020-03-31,18,CLONCURRY DENTAL,North West,General,92,7,0,0,0,0,100,1,0,0,0,0,0,100
2020-03-31,18,CLONCURRY DENTAL,North West,Priority 1,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2020-03-31,18,CLONCURRY DENTAL,North West,Priority 3,7,3,1,1,0,0,83,0,0,0,0,0,0,-
2020-03-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Clinical Assessment,3,0,0,0,0,0,100,0,0,0,0,0,0,-
2020-03-31,19,CHARTERS TOWERS DENTAL CL,Townsville,General,240,54,0,0,0,0,100,0,5,0,0,0,0,100
2020-03-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2020-03-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Priority 2,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2020-03-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Clinical Assessment,11,2,3,0,2,0,61,0,11,8,0,0,0,0
2020-03-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,General,1583,477,0,0,0,0,100,3,44,1,0,0,0,98
2020-03-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,General Anaesthetic Category 2,22,9,0,0,0,0,71,0,2,3,0,0,0,0
2020-03-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,General Anaesthetic Category 3,12,16,2,0,0,0,93,0,0,0,0,0,0,-
2020-03-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 1,7,3,1,0,0,0,64,0,9,1,0,0,0,0
2020-03-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 2,28,3,2,2,0,33,41,8,0,0,0,0,0,100
2020-03-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 3,226,36,26,20,12,68,68,11,22,8,3,0,1,73
2020-03-31,21,MOSSMAN DENTAL CLINIC,Cairns and Hinterland,General,507,28,0,0,0,0,100,12,14,0,0,0,0,100
2020-03-31,21,MOSSMAN DENTAL CLINIC,Cairns and Hinterland,Priority 3,17,1,0,0,0,0,100,2,0,0,0,0,0,100
2020-03-31,23,ATHERTON DENTAL CLINIC,Cairns and Hinterland,Clinical Assessment,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2020-03-31,23,ATHERTON DENTAL CLINIC,Cairns and Hinterland,General,569,517,0,0,0,0,100,0,23,0,1,0,0,96
2020-03-31,23,ATHERTON DENTAL CLINIC,Cairns and Hinterland,Priority 3,61,43,1,0,0,0,99,11,3,1,0,0,0,93
2020-03-31,24,INNISFAIL DENTAL CLINIC,Cairns and Hinterland,General,616,578,0,0,0,0,100,0,0,10,0,0,0,0
2020-03-31,24,INNISFAIL DENTAL CLINIC,Cairns and Hinterland,Priority 3,25,0,0,0,0,0,100,1,0,0,0,0,0,100
2020-03-31,25,MAREEBA DENTAL CLINIC,Cairns and Hinterland,General,725,495,0,0,0,0,100,0,45,3,0,0,0,94
2020-03-31,25,MAREEBA DENTAL CLINIC,Cairns and Hinterland,General Anaesthetic Category 3,0,0,0,0,0,0,-,3,0,0,0,0,0,100
2020-03-31,25,MAREEBA DENTAL CLINIC,Cairns and Hinterland,Priority 3,74,4,0,0,0,0,100,5,8,0,0,0,0,100
2020-03-31,26,CAIRNS NTH DENTAL CLINIC,Cairns and Hinterland,General,2123,456,0,0,0,0,100,0,84,1,0,0,0,99
