date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2020-11-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,2,2,1,0,0,0,40
2020-11-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1556,1164,0,0,0,0,100,0,47,39,0,0,0,55
2020-11-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,107,85,10,0,0,0,53,0,7,10,7,0,0,0
2020-11-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,86,36,16,0,0,0,88,0,0,0,0,0,0,-
2020-11-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,11,6,0,0,0,0,65
2020-11-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1849,1435,0,0,0,0,100,0,62,41,0,0,0,60
2020-11-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,31,4,0,0,0,0,89,0,6,2,0,0,0,0
2020-11-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,89,67,17,7,16,5,78,0,3,9,0,0,5,18
2020-11-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,6,0,0,0,0,0,100,4,8,2,0,0,0,29
2020-11-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1162,1142,0,0,0,0,100,0,0,37,0,0,0,0
2020-11-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 1,0,1,0,0,0,0,0,0,0,0,0,0,0,-
2020-11-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,2,1,0,0,0,0,67,2,0,0,0,0,0,100
2020-11-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,2,1,0,0,0,0,100,0,0,1,0,0,0,0
2020-11-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2020-11-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,78,58,10,0,0,0,53,0,0,11,12,1,0,0
2020-11-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,102,91,77,3,7,4,68,0,0,2,1,0,0,0
2020-11-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,2,3,1,0,0,0,33
2020-11-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1097,605,0,0,0,0,100,0,18,9,0,0,0,67
2020-11-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,40,22,7,0,0,0,58,0,4,2,9,0,0,0
2020-11-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,87,53,33,10,0,0,77,1,5,1,5,0,0,50
2020-11-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,6,3,0,0,0,0,67,0,3,2,0,0,0,0
2020-11-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,860,543,0,0,0,0,100,0,13,22,0,0,0,37
2020-11-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,64,61,1,1,0,0,50,0,5,4,1,0,0,0
2020-11-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,112,62,24,2,0,0,87,0,0,7,0,0,0,0
2020-11-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,3,0,0,0,0,1,75,0,5,1,0,0,0,0
2020-11-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General,1388,1016,0,0,0,0,100,0,0,0,0,0,0,-
2020-11-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,33,9,3,0,0,0,73,0,0,0,0,0,0,-
