date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2021-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,9,0,0,0,0,0,100,2,3,1,0,0,0,33
2021-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1683,1430,21,0,0,0,99,0,16,7,0,0,0,70
2021-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2021-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,74,74,39,14,0,0,37,0,2,18,1,0,0,0
2021-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,52,81,9,3,0,0,92,0,2,3,0,0,0,40
2021-04-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,4,0,0,0,0,0,100,14,8,0,0,0,0,64
2021-04-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1905,1702,0,0,0,0,100,0,9,7,0,0,0,56
2021-04-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,45,25,0,0,0,0,64,1,7,1,0,0,0,11
2021-04-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,95,119,8,17,5,0,88,0,3,0,0,0,4,43
2021-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,6,0,0,0,0,0,100,3,7,0,0,0,0,30
2021-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1056,1003,0,0,0,0,100,0,39,59,0,0,0,40
2021-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 1,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2021-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,3,0,0,0,0,0,100,1,0,0,0,0,0,100
2021-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,4,0,0,0,0,0,100,0,0,0,0,0,0,-
2021-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,1,0,0,0,0
2021-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,46,67,1,0,0,0,40,0,1,19,1,0,0,0
2021-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,124,97,36,5,3,1,83,0,1,19,3,0,0,4
2021-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,2,5,3,0,0,0,20
2021-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1120,885,7,0,0,0,100,0,6,3,0,0,0,67
2021-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,2,0,0,0,0,0
2021-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,30,41,9,0,0,0,38,0,6,11,1,0,0,0
2021-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,70,78,35,4,0,0,79,0,1,2,2,0,0,20
2021-04-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,2,4,2,0,0,0,25
2021-04-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,878,683,0,0,0,0,100,0,7,3,0,0,0,70
2021-04-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,58,34,9,0,0,0,57,0,5,28,7,0,0,0
2021-04-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,79,76,5,0,0,0,97,0,7,18,0,0,0,28
2021-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,2,0,0,0,0,0,100,0,5,10,0,0,0,0
2021-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General,1582,976,0,0,0,0,100,0,1,2,0,0,0,33
2021-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,37,26,8,0,0,0,52,0,0,0,0,0,0,-
2021-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,30,18,9,0,0,0,84,0,0,0,0,0,0,-
2021-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,6,17,16,6,8,82,4,0,0,5,1,0,1,0
2021-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,16,31,22,8,24,134,7,1,0,0,0,0,0,100
2021-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,38,27,104,119,92,105,13,0,0,1,1,1,1,0
2021-04-30,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,8,0,0,0,0,0,100,0,3,8,0,0,0,0
2021-04-30,7,CABOOLTURE DENTAL CLINIC,Metro North,General,2845,1555,0,0,0,0,100,0,0,2,1,0,0,0
2021-04-30,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,0,3,0,0,1,0
2021-04-30,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,0,0,0,0,0,0,-,1,6,2,0,0,0,11
2021-04-30,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,0,0,0,0,0,0,-,5,0,1,0,0,0,83
2021-04-30,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 1,7,8,7,5,11,14,13,0,1,1,1,0,10,0
2021-04-30,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 2,39,68,66,47,52,157,9,0,0,0,0,0,15,0
2021-04-30,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 3,119,220,212,232,232,238,27,0,0,0,0,2,4,0
2021-04-30,8,PALM BEACH DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2021-04-30,8,PALM BEACH DENTAL CLINIC,Gold Coast,General,361,824,0,0,0,0,100,0,9,21,1,0,0,29
2021-04-30,8,PALM BEACH DENTAL CLINIC,Gold Coast,General Anaesthetic Category 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2021-04-30,8,PALM BEACH DENTAL CLINIC,Gold Coast,General Anaesthetic Category 2,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2021-04-30,8,PALM BEACH DENTAL CLINIC,Gold Coast,General Anaesthetic Category 3,0,0,0,0,0,0,-,0,0,0,4,0,0,0
2021-04-30,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 1,2,0,1,1,0,0,50,0,9,6,0,0,1,0
2021-04-30,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 2,2,2,0,0,1,0,40,7,4,0,0,0,1,58
2021-04-30,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 3,24,9,3,1,0,0,89,0,0,0,1,0,0,0
2021-04-30,10,ROBINA DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2021-04-30,10,ROBINA DENTAL CLINIC,Gold Coast,General,912,1034,0,0,0,0,100,0,13,38,0,0,0,25
2021-04-30,10,ROBINA DENTAL CLINIC,Gold Coast,General Anaesthetic Category 3,0,0,1,0,0,0,0,0,0,0,0,0,0,-
