date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2021-01-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,2,3,1,0,0,0,33
2021-01-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1467,1367,0,0,0,0,100,1,13,14,1,0,0,48
2021-01-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,67,97,36,0,0,0,34,0,0,2,0,0,0,0
2021-01-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,62,66,18,0,0,0,88,0,0,1,0,0,0,0
2021-01-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,12,7,0,0,0,0,63
2021-01-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1759,1593,0,0,0,0,100,0,18,10,0,0,0,64
2021-01-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,18,1,0,0,0,0,95,1,22,0,0,0,0,4
2021-01-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,100,70,18,8,10,9,79,0,6,9,0,0,2,35
2021-01-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,6,0,0,0,0,0,100,6,6,3,0,0,0,40
2021-01-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1081,1120,9,0,0,0,100,0,1,14,0,0,0,7
2021-01-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2021-01-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,1,0,0,0,0,0,100,0,2,0,0,0,0,0
2021-01-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,3,0,0,0,0,0,100,1,0,0,0,0,0,100
2021-01-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2021-01-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,48,78,29,1,0,0,31,0,0,5,4,0,0,0
2021-01-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,88,93,98,9,6,3,61,0,0,0,1,0,0,0
2021-01-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,0,2,0,0,0,0,0
2021-01-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1080,712,0,0,0,0,100,0,16,4,0,0,0,80
2021-01-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,0,0,1,0,0,0
2021-01-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,42,33,1,0,0,0,55,0,0,9,2,0,0,0
2021-01-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,66,58,42,0,0,0,75,0,1,2,4,0,0,14
2021-01-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,3,0,2,2,0,0,43,3,1,0,0,0,0,75
2021-01-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,848,570,0,0,0,0,100,0,8,1,0,0,0,89
2021-01-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,45,75,11,0,0,0,34,0,0,10,0,0,0,0
2021-01-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,91,76,25,0,0,0,87,0,0,9,1,0,0,0
2021-01-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,2,0,0,0,0,0,100,0,0,1,0,0,0,0
2021-01-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General,1374,1047,0,0,0,0,100,0,1,0,0,0,0,100
2021-01-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,31,29,2,0,0,0,50,0,0,0,0,0,0,-
2021-01-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,31,15,9,0,0,0,84,0,0,0,0,0,0,-
2021-01-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,15,17,25,9,4,48,13,0,3,1,5,0,1,0
2021-01-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,34,21,10,28,29,110,15,0,0,0,0,0,0,-
2021-01-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,26,70,170,190,96,59,16,0,0,0,0,1,0,0
2021-01-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,4,0,0,0,0,0,100,1,4,1,0,0,0,17
