date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2021-06-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,1,10,6,0,0,0,6
2021-06-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1720,1580,0,0,0,0,100,2,0,1,0,0,0,67
2021-06-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,62,42,27,7,0,0,45,0,12,33,1,0,0,0
2021-06-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,43,81,18,0,0,0,87,0,0,2,0,0,0,0
2021-06-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,11,12,0,0,0,0,48
2021-06-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1962,1925,0,0,0,0,100,0,0,6,0,0,0,0
2021-06-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,41,47,0,0,0,0,47,0,23,2,0,0,0,0
2021-06-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,97,120,7,13,1,1,91,0,4,8,0,1,2,27
2021-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,1,0,0,0,0,67,8,12,1,0,0,0,38
2021-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1126,1153,0,0,0,0,100,0,0,4,0,0,0,0
2021-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 1,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2021-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,8,1,0,0,0,0,89,0,1,0,0,0,0,0
2021-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,8,1,0,0,0,0,100,1,0,0,0,0,0,100
2021-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,1,0,0,0,0,0,100,0,1,0,0,0,0,0
2021-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,48,74,10,0,0,0,36,0,0,11,0,0,0,0
2021-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,134,109,38,0,0,0,86,0,0,6,0,1,0,0
