date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2021-05-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,9,0,0,0,0,0,100,0,6,3,0,0,0,0
2021-05-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1736,1465,5,0,0,0,100,0,1,7,0,0,0,13
2021-05-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2021-05-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,62,55,47,0,0,0,38,1,1,9,0,0,0,9
2021-05-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,49,86,1,0,0,0,99,0,0,9,1,0,0,0
2021-05-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,11,17,0,0,0,0,39
2021-05-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1959,1796,0,0,0,0,100,0,1,8,0,0,0,11
2021-05-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,44,34,0,0,0,0,56,0,10,2,0,0,0,0
2021-05-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,96,113,8,17,3,1,88,0,5,11,3,3,1,22
2021-05-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,8,0,0,0,0,0,100,4,4,0,0,0,0,50
2021-05-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1103,1054,0,0,0,0,100,0,17,39,0,0,0,30
2021-05-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,7,3,0,0,0,0,70,1,0,0,0,0,0,100
2021-05-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,8,0,0,0,0,0,100,0,0,0,0,0,0,-
2021-05-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,48,73,9,0,0,0,37,0,1,7,2,0,0,0
2021-05-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,135,106,36,0,1,0,87,0,0,13,3,0,0,0
2021-05-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,1,8,2,0,0,0,9
2021-05-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1148,891,1,0,0,0,100,0,0,1,0,0,0,0
2021-05-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,33,44,7,0,0,0,39,0,2,2,0,0,0,0
2021-05-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,58,86,37,0,0,0,80,0,2,2,0,0,0,50
2021-05-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,5,0,0,0,0,0,100,7,2,3,0,0,0,58
2021-05-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,892,724,0,0,0,0,100,0,2,1,0,0,0,67
2021-05-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,51,40,9,6,0,0,48,0,0,27,4,0,1,0
2021-05-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,69,87,8,0,0,0,95,0,10,7,1,0,0,56
2021-05-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,3,0,0,0,0,0,100,1,4,1,0,0,0,17
2021-05-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General,1637,1036,0,0,0,0,100,1,0,5,0,0,0,17
2021-05-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,28,36,11,1,0,0,37,0,0,0,0,0,0,-
2021-05-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,27,21,9,0,0,0,84,0,0,0,0,0,0,-
2021-05-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,10,6,17,16,6,92,7,1,2,3,10,2,1,5
2021-05-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,21,22,32,4,15,146,9,1,2,0,0,0,0,33
2021-05-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,37,26,95,114,101,115,13,0,0,0,1,0,0,0
2021-05-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,2,0,0,0,0,0,100,2,1,22,1,0,0,8
2021-05-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General,2906,1695,0,0,0,0,100,1,3,14,1,0,0,21
2021-05-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2021-05-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,0,0,0,0,0,0,-,0,2,5,1,0,0,0
2021-05-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,0,0,0,0,0,0,-,1,1,2,0,0,0,50
2021-05-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 1,11,7,8,7,3,17,21,0,0,1,0,2,7,0
2021-05-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 2,32,45,90,52,39,159,8,0,0,1,0,0,22,0
2021-05-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 3,88,246,184,232,201,286,27,0,1,0,1,0,6,13
2021-05-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2021-05-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,General,391,803,31,0,0,0,97,0,1,27,0,0,0,4
2021-05-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,General Anaesthetic Category 3,0,0,0,0,0,0,-,0,0,1,2,0,0,0
2021-05-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 1,1,1,0,1,1,0,25,0,6,5,2,1,1,0
2021-05-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 2,7,2,0,0,1,0,70,5,1,0,1,1,10,28
2021-05-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 3,21,17,3,1,0,0,90,0,0,0,0,1,1,0
2021-05-31,10,ROBINA DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2021-05-31,10,ROBINA DENTAL CLINIC,Gold Coast,General,837,1119,40,0,0,0,98,1,1,35,0,0,0,5
2021-05-31,10,ROBINA DENTAL CLINIC,Gold Coast,General Anaesthetic Category 3,0,0,1,0,0,0,0,0,0,0,0,0,0,-
2021-05-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 1,0,0,2,0,0,6,0,1,6,10,1,0,2,5
2021-05-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 2,18,8,0,0,0,1,67,14,4,2,0,0,11,45
2021-05-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 3,28,27,25,0,1,0,68,0,0,2,2,2,0,0
2021-05-31,13,BOWEN DENTAL CLINIC,Mackay,Clinical Assessment,0,0,0,0,0,0,-,3,1,0,0,0,0,75
2021-05-31,13,BOWEN DENTAL CLINIC,Mackay,General,683,255,0,0,0,0,100,0,26,0,0,0,0,100
2021-05-31,13,BOWEN DENTAL CLINIC,Mackay,General Anaesthetic Category 3,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2021-05-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 2,8,2,0,0,0,0,80,0,1,0,0,0,0,0
2021-05-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 3,25,15,0,0,0,0,100,0,0,0,0,0,0,-
2021-05-31,14,AYR DENTAL CLINIC,Townsville,Clinical Assessment,0,0,0,0,0,0,-,2,1,1,0,0,0,50
2021-05-31,14,AYR DENTAL CLINIC,Townsville,General,96,1,0,0,0,0,100,12,14,0,0,0,0,100
2021-05-31,14,AYR DENTAL CLINIC,Townsville,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,1,0
2021-05-31,14,AYR DENTAL CLINIC,Townsville,Priority 3,29,35,0,0,0,0,100,0,2,0,0,0,0,100
2021-05-31,15,MORNINGTON ISLAND DENTAL,North West,Clinical Assessment,1,1,1,1,0,1,20,0,0,0,0,0,0,-
2021-05-31,15,MORNINGTON ISLAND DENTAL,North West,General,122,88,34,0,0,0,86,1,0,0,1,0,0,50
2021-05-31,15,MORNINGTON ISLAND DENTAL,North West,Priority 3,6,10,0,0,1,1,89,0,0,0,0,0,0,-
2021-05-31,16,MT ISA DENTAL CLINIC,North West,Clinical Assessment,12,2,0,0,0,0,86,0,10,5,3,0,1,0
2021-05-31,16,MT ISA DENTAL CLINIC,North West,General,389,317,97,0,0,0,88,4,0,2,0,0,0,67
2021-05-31,16,MT ISA DENTAL CLINIC,North West,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,0,0,1,0,0,0
2021-05-31,16,MT ISA DENTAL CLINIC,North West,General Anaesthetic Category 2,4,1,1,4,0,0,40,0,2,0,0,0,0,0
2021-05-31,16,MT ISA DENTAL CLINIC,North West,General Anaesthetic Category 3,14,7,1,0,0,0,95,5,1,0,0,0,0,100
2021-05-31,16,MT ISA DENTAL CLINIC,North West,Priority 1,2,0,0,3,2,1,25,1,0,0,0,0,0,100
2021-05-31,16,MT ISA DENTAL CLINIC,North West,Priority 3,29,18,2,2,0,0,92,1,1,0,0,0,0,100
2021-05-31,17,INGHAM DENTAL CLINIC,Townsville,Clinical Assessment,0,0,0,0,0,0,-,1,5,1,0,0,0,14
2021-05-31,17,INGHAM DENTAL CLINIC,Townsville,General,211,0,0,0,0,0,100,1,4,0,0,0,0,100
2021-05-31,17,INGHAM DENTAL CLINIC,Townsville,General Anaesthetic Category 1,2,0,0,0,0,0,100,0,0,0,0,0,0,-
2021-05-31,17,INGHAM DENTAL CLINIC,Townsville,General Anaesthetic Category 3,2,0,0,0,0,0,100,0,0,0,0,0,0,-
2021-05-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2021-05-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 2,0,0,0,0,0,0,-,8,0,0,0,0,0,100
2021-05-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 3,4,0,0,0,0,0,100,21,0,0,0,0,0,100
2021-05-31,18,CLONCURRY DENTAL,North West,Clinical Assessment,2,1,2,1,0,0,33,1,2,0,1,0,1,20
2021-05-31,18,CLONCURRY DENTAL,North West,General,83,53,1,0,0,0,99,0,0,0,0,0,0,-
2021-05-31,18,CLONCURRY DENTAL,North West,Priority 1,0,0,0,1,0,1,0,0,0,0,0,0,0,-
2021-05-31,18,CLONCURRY DENTAL,North West,Priority 3,2,2,0,0,1,0,80,0,0,0,0,0,0,-
2021-05-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Clinical Assessment,0,0,0,0,0,0,-,3,0,0,0,0,0,100
2021-05-31,19,CHARTERS TOWERS DENTAL CL,Townsville,General,193,0,0,0,0,0,100,5,2,0,0,0,0,100
2021-05-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Priority 2,2,1,0,0,0,0,67,0,0,0,0,0,0,-
2021-05-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Priority 3,25,7,0,0,0,0,100,1,4,1,0,0,0,83
2021-05-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Clinical Assessment,3,0,0,0,0,0,100,8,23,5,0,0,0,22
2021-05-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,General,1722,523,0,0,0,0,100,1,118,1,0,0,0,99
2021-05-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,0,1,0,0,0,0
2021-05-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,General Anaesthetic Category 2,4,2,0,0,0,0,67,5,1,1,0,0,0,71
2021-05-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,General Anaesthetic Category 3,1,1,0,0,0,0,100,2,0,0,0,0,0,100
2021-05-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 1,2,0,0,0,0,0,100,5,4,6,0,0,0,33
2021-05-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 2,32,0,2,2,1,30,48,44,0,0,0,0,1,98
2021-05-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 3,150,101,18,13,13,78,67,53,6,16,0,1,3,75
2021-05-31,21,MOSSMAN DENTAL CLINIC,Cairns and Hinterland,General,351,348,2,0,0,0,100,1,4,3,0,0,0,63
