date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2022-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,7,8,0,0,0,0,47,0,2,2,0,0,0,0
2022-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1438,1365,0,0,0,0,100,2,48,9,0,0,0,85
2022-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,0,0,0,1,0,0,0,0,0,0,0,0,0,-
2022-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,0,1,0,0,0,0,100,0,0,0,0,0,0,-
2022-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,39,69,56,0,1,0,24,0,0,0,0,0,0,-
2022-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,54,47,33,4,6,0,70,0,0,0,0,0,0,-
2022-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,3,0,0,0,0,0,100,1,13,0,0,0,0,7
2022-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1600,1464,0,0,0,0,100,0,46,5,0,0,0,90
2022-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,10,54,1,0,0,0,15,0,3,1,0,0,0,0
2022-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,43,60,26,0,0,0,80,3,2,1,0,0,0,83
2022-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,3,6,0,0,0,0,33
2022-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1179,895,0,0,0,0,100,0,23,7,0,0,0,77
2022-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,8,3,3,1,0,0,53,0,1,1,0,1,1,0
2022-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,9,7,12,1,0,0,55,0,0,0,1,0,0,0
2022-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,2,1,0,0,0,0
2022-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,36,29,49,20,0,0,27,0,0,0,1,0,0,0
2022-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,64,100,129,20,0,0,52,0,0,0,14,1,0,0
2022-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,1,8,2,0,0,0,9
2022-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,976,808,0,0,0,0,100,0,19,6,0,0,0,76
2022-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,0,0,1,0,0
2022-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,56,56,24,19,0,0,36,0,0,3,1,0,0,0
2022-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,64,44,15,0,0,0,88,0,0,1,1,0,0,0
2022-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,3,0,0,0,0,40,2,5,1,0,0,0,25
2022-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,686,512,0,0,0,0,100,0,38,4,0,0,0,90
2022-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,24,42,36,25,17,0,17,0,0,0,1,4,0,0
2022-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,60,61,45,1,0,0,72,0,0,7,0,0,0,0
2022-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,1,0,0,0,0,0,100,0,5,1,0,0,0,0
2022-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General,1984,1170,0,0,0,0,100,0,0,0,0,0,0,-
2022-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,0,0,0,0,0,0,-,0,0,1,0,0,0,0
2022-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,5,0,0,0,0,0,100,1,2,6,0,0,1,10
2022-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,151,58,0,0,0,0,72,1,18,1,0,0,0,5
2022-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,97,14,0,0,0,0,100,0,1,1,0,0,0,50
2022-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,2,0,0,0,0,0,100,0,6,6,0,0,1,0
2022-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General,2977,1985,0,0,0,0,100,0,0,3,0,0,0,0
2022-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,0,0,1,0,0,0
2022-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,0,0,0,0,0,0,-,0,0,0,0,2,2,0
2022-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,0,0,0,0,0,0,-,0,0,1,1,0,0,0
