date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2022-10-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,1,3,0,0,0,0,25
2022-10-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1482,1214,0,0,0,0,100,5,212,42,2,0,0,83
2022-10-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,0,0,1,0,0,0,0,0,0,0,0,0,0,-
2022-10-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,0,1,0,0,0,0,100,0,0,0,0,0,0,-
2022-10-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,2,0,0,0,0,33
2022-10-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,59,60,13,1,0,0,44,0,1,8,2,0,1,0
2022-10-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,56,48,13,10,0,0,82,1,0,0,0,0,0,100
2022-10-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,9,4,1,0,0,0,64
2022-10-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1595,1383,0,0,0,0,100,0,218,26,0,0,0,89
2022-10-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,19,33,0,0,0,1,36,0,12,0,0,1,0,0
2022-10-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,53,61,21,0,1,0,84,2,0,16,1,0,0,11
2022-10-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,3,8,0,0,0,0,27
