date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2022-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,4,11,4,0,0,0,21
2022-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1490,1309,0,0,0,0,100,3,215,53,0,0,0,80
2022-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,0,0,1,0,0,0,0,0,0,0,0,0,0,-
2022-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,0,1,0,0,0,0,100,0,0,0,0,0,0,-
2022-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,51,63,1,2,1,1,43,0,0,16,18,1,0,0
2022-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,57,51,7,9,1,0,86,0,0,2,1,0,0,0
2022-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,9,11,0,0,0,0,45
2022-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1635,1457,0,0,0,0,100,0,217,32,0,0,0,87
2022-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,28,17,0,0,0,0,62,0,8,2,1,0,0,0
2022-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,50,65,35,3,0,0,75,6,0,10,1,0,0,35
2022-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,4,0,0,0,0,0,100,2,7,0,0,0,0,22
2022-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1169,880,0,0,0,0,100,0,105,33,0,0,0,76
2022-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,0,0,1,0,0,0
2022-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,5,6,2,2,3,0,28,0,0,0,2,1,0,0
2022-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,7,14,6,0,0,0,78,0,0,0,0,0,0,-
2022-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2022-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,27,54,54,16,0,0,18,0,0,1,28,6,0,0
2022-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,88,114,127,23,0,0,57,0,0,0,24,0,0,0
2022-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,0,10,1,0,0,0,0
2022-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,990,839,0,0,0,0,100,0,135,39,1,0,0,77
2022-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 1,1,1,0,0,0,0,50,2,0,0,0,0,0,100
2022-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,58,33,30,0,0,0,48,0,7,5,14,8,0,0
2022-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,56,43,3,0,0,0,97,0,2,7,5,1,0,13
2022-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,1,4,1,0,0,1,14
2022-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,659,602,0,0,0,0,100,0,116,31,0,0,0,79
2022-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,43,36,26,23,0,0,34,0,0,1,18,4,0,0
2022-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,72,68,44,0,0,0,76,0,1,8,0,0,0,11
2022-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,1,0,0,0,0,0,100,1,7,8,3,0,0,5
2022-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General,2059,1021,0,0,0,0,100,0,4,4,0,0,0,50
2022-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2022-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,20,24,20,38,10,11,16,0,0,0,0,0,0,-
2022-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,49,21,44,24,1,1,50,0,0,0,0,0,0,-
2022-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,10,6,0,0,1,0,59,1,1,0,0,1,0,33
2022-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,96,0,0,0,0,0,100,1,7,1,1,0,1,9
