date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2023-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,27,0,0,0,0,0,100
2023-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1759,1015,0,0,0,0,100,4,304,31,0,0,0,91
2023-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,2,0,0,0,0,0,100
2023-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,57,67,56,0,0,0,32,0,8,11,0,0,0,0
2023-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,67,58,9,0,0,0,93,0,7,8,0,0,0,47
2023-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,77,0,0,0,0,0,100
2023-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1960,1172,0,0,0,0,100,0,425,43,1,0,0,91
2023-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2023-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,11,46,0,0,0,0,19,1,42,5,0,0,0,2
2023-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,46,99,18,0,0,0,89,0,7,25,0,0,0,22
2023-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,41,0,0,0,1,1,95
2023-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1464,870,0,0,0,0,100,0,288,25,0,0,0,92
2023-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 1,0,0,0,0,0,0,-,0,0,0,1,0,0,0
2023-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,7,6,2,0,0,0,47,5,3,2,0,0,0,50
2023-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,4,3,2,0,0,0,78,1,2,1,2,0,0,50
2023-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,10,0,0,0,0,0,100
2023-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,46,42,23,1,0,0,41,2,1,9,34,17,0,3
2023-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,84,71,72,10,0,0,65,1,0,1,35,1,0,3
2023-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,23,0,0,0,0,0,100
2023-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1103,697,0,0,0,0,100,0,205,24,0,0,0,90
2023-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,3,0,0,0,0,0,100
2023-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,50,25,11,11,3,0,50,2,19,12,18,1,1,4
2023-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,51,54,13,1,0,0,88,1,7,15,5,0,0,29
2023-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,12,2,2,0,0,0,75
2023-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,917,512,0,0,0,0,100,1,145,17,0,0,0,90
2023-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2023-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,30,6,2,9,8,9,47,0,4,9,22,18,0,0
2023-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,39,29,27,13,1,0,62,0,5,33,17,0,0,9
2023-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,1,0,0,0,0,0,100,61,0,0,1,0,0,98
2023-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General,2186,3,0,0,0,0,100,3,8,0,0,0,0,100
2023-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,12,3,1,0,0,0,75,12,3,1,2,0,0,67
2023-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,218,86,17,1,1,0,67,21,25,1,0,1,0,44
2023-09-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,75,48,1,0,0,0,99,0,2,0,0,0,0,100
2023-09-30,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,0,0,0,1,0,0,0,83,1,0,0,0,0,99
2023-09-30,7,CABOOLTURE DENTAL CLINIC,Metro North,General,3561,4,0,0,0,0,100,9,12,0,0,0,0,100
2023-09-30,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 1,0,0,0,0,0,0,-,5,0,0,0,0,0,100
2023-09-30,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 2,0,0,0,0,0,0,-,5,2,1,2,7,9,19
2023-09-30,7,CABOOLTURE DENTAL CLINIC,Metro North,General Anaesthetic Category 3,0,0,0,0,0,0,-,2,0,0,0,4,0,33
