date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2023-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,1,6,0,0,0,0,14
2023-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1654,1260,0,0,0,0,100,7,31,11,0,0,0,78
2023-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,0,0,1,0,0,0,0,0,0,0,0,0,0,-
2023-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,72,31,21,0,0,1,58,0,1,12,12,1,3,0
2023-04-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,60,57,0,0,9,0,93,0,0,8,0,0,0,0
2023-04-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,3,8,0,0,0,0,27
2023-04-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1824,1363,0,0,0,0,100,0,40,10,0,0,0,80
2023-04-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,13,27,0,0,0,0,33,0,1,8,0,0,0,0
2023-04-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,38,72,14,0,0,0,89,0,0,1,0,0,0,0
2023-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,3,0,0,0,0,0,100,4,11,2,0,0,0,24
2023-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1390,919,0,0,0,0,100,0,48,6,0,0,0,89
2023-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 2,12,4,0,0,0,0,75,1,0,0,0,0,0,100
2023-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General Anaesthetic Category 3,5,7,7,4,0,0,52,0,0,1,0,0,0,0
2023-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2023-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,41,36,40,33,2,0,27,0,0,1,2,11,0,0
2023-04-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,73,78,104,46,0,0,50,0,1,0,18,0,0,5
2023-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,0,4,2,0,0,0,0
2023-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1060,849,0,0,0,0,100,0,29,0,1,0,0,97
2023-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2023-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,33,52,33,13,3,0,25,0,0,2,6,0,0,0
2023-04-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,62,52,27,0,0,0,81,0,3,3,0,0,0,50
2023-04-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,4,0,0,0,0,0,100,1,6,4,1,2,1,7
2023-04-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,798,548,0,0,0,0,100,0,15,4,0,0,0,79
2023-04-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,11,19,42,37,18,0,9,0,0,0,0,1,2,0
2023-04-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,31,67,65,3,0,0,59,0,0,0,2,0,0,0
2023-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,0,0,0,0,0,0,-,4,8,8,0,0,0,20
2023-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General,2024,0,0,0,0,0,100,0,0,0,0,0,0,-
2023-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,10,8,1,0,0,0,53,0,7,2,1,0,0,0
2023-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,185,36,5,8,1,1,78,6,12,3,2,0,0,26
2023-04-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,81,20,0,0,0,0,100,0,0,0,0,0,0,-
