date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2023-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,41,0,0,0,0,0,100
2023-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1777,1044,0,0,0,0,100,2,342,3,0,0,0,99
2023-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,1,0,0,0,0,0,2,0,0,0,0,0,100
2023-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,64,65,68,23,0,0,29,3,2,8,2,1,0,19
2023-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,63,78,2,0,0,0,99,0,12,10,1,0,0,52
2023-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,59,0,0,0,0,0,100
2023-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,2042,1230,1,0,0,0,100,1,342,10,0,0,0,97
2023-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2023-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,14,34,6,0,0,0,26,0,35,7,0,0,0,0
2023-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,38,108,38,0,0,0,79,0,2,24,0,0,0,8
2023-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,4,2,0,0,0,0,67,26,0,0,0,0,0,100
2023-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1494,921,0,0,0,0,100,0,243,3,0,0,0,99
2023-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,1,0,0,0,0,0,4,0,0,0,0,0,100
2023-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,44,48,27,0,1,0,37,0,4,30,5,5,0,0
2023-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,104,71,57,8,0,0,73,1,0,21,30,1,0,2
2023-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,18,0,0,0,0,0,100
2023-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1095,719,0,0,0,0,100,0,208,6,0,0,0,97
2023-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,3,0,0,0,0,0,100
2023-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,59,57,21,9,0,1,40,2,17,6,15,2,0,5
2023-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,44,56,30,0,0,0,77,0,1,16,1,0,0,6
2023-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,18,0,1,0,0,0,95
2023-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,945,532,0,0,0,0,100,0,149,15,0,0,0,91
2023-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2023-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,17,27,6,0,8,15,23,1,8,4,1,3,1,6
2023-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,39,27,2,8,6,0,80,0,10,24,1,0,0,29
2023-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,0,0,0,0,0,0,-,28,1,0,0,0,0,97
2023-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General,2354,85,0,0,0,0,100,4,10,0,0,0,0,100
2023-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,5,0,2,1,0,0,63,18,20,5,0,0,0,42
2023-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,203,211,48,5,0,0,43,4,17,23,2,1,0,9
2023-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,81,80,5,0,0,0,97,1,0,0,0,0,0,100
2023-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,1,0,0,0,0,1,50,53,0,0,0,0,1,98
2023-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General,3537,211,0,0,0,0,100,9,8,0,0,0,0,100
2023-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 1,0,0,0,0,0,0,-,28,1,0,0,0,0,97
2023-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 2,328,117,1,0,0,0,74,129,46,3,0,0,0,72
2023-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 3,122,82,0,0,0,0,100,3,0,0,0,0,0,100
2023-12-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,General,719,111,0,0,0,0,100,0,0,0,0,0,0,-
2023-12-31,10,ROBINA DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,0,-,7,0,0,0,0,0,100
2023-12-31,10,ROBINA DENTAL CLINIC,Gold Coast,General,981,112,0,0,0,0,100,1,178,2,0,0,0,99
2023-12-31,10,ROBINA DENTAL CLINIC,Gold Coast,Priority 3,0,0,0,0,0,0,-,0,1,0,0,0,0,100
2023-12-31,13,BOWEN DENTAL CLINIC,Mackay,Clinical Assessment,0,0,2,0,0,5,0,4,0,0,0,0,0,100
2023-12-31,13,BOWEN DENTAL CLINIC,Mackay,General,909,22,0,0,0,0,100,152,69,0,0,0,0,100
2023-12-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 1,0,0,0,0,0,0,-,3,0,0,0,0,0,100
2023-12-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 2,13,0,0,0,0,0,100,8,2,0,0,0,0,80
2023-12-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 3,21,8,0,0,0,0,100,2,9,2,0,0,0,85
2023-12-31,14,AYR DENTAL CLINIC,Townsville,Clinical Assessment,2,0,0,0,0,0,100,12,0,0,0,0,0,100
2023-12-31,14,AYR DENTAL CLINIC,Townsville,General,233,5,0,0,0,0,100,1,45,0,0,0,0,100
2023-12-31,14,AYR DENTAL CLINIC,Townsville,Priority 2,8,0,0,0,0,0,100,13,0,0,0,0,0,100
2023-12-31,14,AYR DENTAL CLINIC,Townsville,Priority 3,51,4,0,0,0,0,100,1,1,0,0,0,0,100
2023-12-31,15,MORNINGTON ISLAND DENTAL,North West,Clinical Assessment,3,3,10,2,0,4,14,4,0,0,0,0,1,80
2023-12-31,15,MORNINGTON ISLAND DENTAL,North West,General,37,18,4,10,5,0,74,4,2,0,0,0,0,100
2023-12-31,15,MORNINGTON ISLAND DENTAL,North West,Priority 1,0,0,0,0,0,4,0,0,0,0,0,0,0,-
2023-12-31,15,MORNINGTON ISLAND DENTAL,North West,Priority 2,3,4,0,0,0,3,30,0,0,0,0,0,0,-
2023-12-31,15,MORNINGTON ISLAND DENTAL,North West,Priority 3,0,0,0,9,3,10,0,0,0,0,0,0,0,-
2023-12-31,16,MT ISA DENTAL CLINIC,North West,Clinical Assessment,18,4,0,0,0,3,72,13,6,0,0,0,1,65
2023-12-31,16,MT ISA DENTAL CLINIC,North West,General,398,84,0,0,0,0,100,4,8,0,0,0,0,100
2023-12-31,16,MT ISA DENTAL CLINIC,North West,Priority 1,1,1,0,3,2,3,10,0,1,1,1,0,0,0
2023-12-31,16,MT ISA DENTAL CLINIC,North West,Priority 2,9,8,1,1,1,1,43,1,0,0,0,0,1,50
2023-12-31,16,MT ISA DENTAL CLINIC,North West,Priority 3,19,12,0,2,1,0,91,3,1,0,0,0,0,100
2023-12-31,17,INGHAM DENTAL CLINIC,Townsville,Clinical Assessment,2,0,0,0,0,0,100,11,0,0,0,0,0,100
2023-12-31,17,INGHAM DENTAL CLINIC,Townsville,General,232,109,0,0,0,0,100,0,33,0,0,0,0,100
2023-12-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 1,0,0,0,0,0,0,-,2,0,0,0,0,0,100
2023-12-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 2,8,0,0,0,0,0,100,13,0,0,0,0,0,100
2023-12-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 3,10,0,0,0,0,0,100,18,13,0,0,0,0,100
2023-12-31,18,CLONCURRY DENTAL,North West,Clinical Assessment,1,0,0,1,0,6,13,0,0,0,0,0,0,-
2023-12-31,18,CLONCURRY DENTAL,North West,General,57,25,36,27,1,0,56,0,1,0,0,0,0,100
2023-12-31,18,CLONCURRY DENTAL,North West,Priority 2,0,0,0,0,0,1,0,1,0,0,0,0,0,100
2023-12-31,18,CLONCURRY DENTAL,North West,Priority 3,2,0,1,1,0,3,29,0,0,0,0,0,0,-
2023-12-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Clinical Assessment,1,0,0,0,0,0,100,10,0,0,0,0,0,100
2023-12-31,19,CHARTERS TOWERS DENTAL CL,Townsville,General,163,57,0,0,0,0,100,0,15,0,0,0,0,100
2023-12-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2023-12-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Priority 2,3,0,0,0,0,0,100,16,0,0,0,0,0,100
2023-12-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Priority 3,16,19,0,0,0,0,100,8,5,0,0,0,0,100
2023-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Clinical Assessment,13,0,0,0,0,0,100,90,0,0,0,0,1,99
2023-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,General,1811,452,0,0,0,0,100,2,408,0,0,0,0,100
2023-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 1,0,0,0,0,0,0,-,12,0,0,0,0,0,100
2023-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 2,118,0,0,0,0,0,100,124,0,0,0,0,0,100
2023-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 3,232,8,0,1,1,13,94,96,8,1,0,0,0,99
2023-12-31,21,MOSSMAN DENTAL CLINIC,Cairns and Hinterland,General,298,142,0,0,0,0,100,0,50,0,0,0,0,100
2023-12-31,21,MOSSMAN DENTAL CLINIC,Cairns and Hinterland,Priority 3,29,0,0,0,0,0,100,11,0,0,0,0,0,100
2023-12-31,23,ATHERTON DENTAL CLINIC,Cairns and Hinterland,Clinical Assessment,0,0,0,0,0,0,-,2,0,0,0,0,0,100
2023-12-31,23,ATHERTON DENTAL CLINIC,Cairns and Hinterland,General,510,276,0,0,0,0,100,2,69,2,1,0,0,96
2023-12-31,23,ATHERTON DENTAL CLINIC,Cairns and Hinterland,Priority 3,66,66,69,3,0,0,65,0,0,0,0,0,0,-
2023-12-31,24,INNISFAIL DENTAL CLINIC,Cairns and Hinterland,Clinical Assessment,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2023-12-31,24,INNISFAIL DENTAL CLINIC,Cairns and Hinterland,General,887,18,0,0,0,0,100,35,48,0,0,0,0,100
2023-12-31,24,INNISFAIL DENTAL CLINIC,Cairns and Hinterland,Priority 3,75,45,21,0,0,0,85,3,1,13,0,0,0,24
2023-12-31,25,MAREEBA DENTAL CLINIC,Cairns and Hinterland,Clinical Assessment,1,0,0,0,0,0,100,0,0,0,0,0,0,-
