date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2024-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,36,0,0,0,0,0,100
2024-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1651,1117,0,0,0,0,100,1,363,7,0,0,0,98
2024-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,2,0,0,0,0,0,100
2024-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,26,62,40,23,22,12,14,0,19,11,3,2,0,0
2024-12-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,62,82,50,13,0,0,70,0,3,10,1,0,0,21
2024-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,47,0,0,0,0,0,100
2024-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1958,1277,0,0,0,0,100,2,372,9,0,0,0,98
2024-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,3,0,0,0,0,0,100
2024-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,77,81,35,24,2,1,35,2,36,18,7,0,0,3
2024-12-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,77,107,57,14,1,0,72,1,1,32,6,0,0,5
2024-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,8,2,0,0,0,0,80,39,0,0,0,0,0,100
2024-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1366,915,0,0,0,0,100,1,290,0,0,0,0,100
2024-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,10,0,0,1,0,0,91
2024-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,54,57,51,39,26,8,23,0,8,4,1,9,4,0
2024-12-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,91,106,56,7,0,0,76,0,2,21,17,0,0,5
2024-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,1,0,0,50,22,0,0,1,0,0,96
2024-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1058,584,0,0,0,0,100,0,263,5,0,0,0,98
2024-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2024-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,49,58,34,21,2,0,30,2,9,4,8,2,0,8
2024-12-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,61,46,33,9,0,0,72,0,1,5,1,0,0,14
2024-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,7,1,0,0,0,0,88,7,0,0,0,0,0,100
2024-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,1001,433,0,0,0,0,100,0,251,0,0,0,0,100
2024-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 1,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2024-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,19,19,16,11,0,0,29,0,1,5,0,0,0,0
2024-12-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,40,44,0,0,0,0,100,0,7,0,0,0,0,100
2024-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,10,1,0,0,0,0,91,56,0,0,1,0,0,98
2024-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,General,2520,682,0,0,0,0,100,2,3,0,0,0,0,100
2024-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,11,20,15,0,0,0,24,14,11,2,1,1,0,48
2024-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,184,47,16,7,1,0,72,31,38,33,16,10,3,24
2024-12-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,52,15,3,1,2,2,89,0,1,0,1,0,0,50
2024-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,6,0,0,0,0,0,100,60,0,1,0,0,0,98
2024-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,General,4709,1117,0,0,0,0,100,0,6,0,0,0,0,100
2024-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 1,11,7,0,0,0,0,61,44,4,0,0,0,0,92
2024-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 2,319,252,33,1,0,0,53,35,82,1,0,0,0,30
2024-12-31,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 3,74,8,1,0,0,0,99,0,6,0,0,0,0,100
2024-12-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2024-12-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,General,622,0,0,0,0,0,100,151,17,0,0,0,0,100
2024-12-31,8,PALM BEACH DENTAL CLINIC,Gold Coast,Priority 3,0,0,0,0,0,0,-,0,1,0,0,0,0,100
2024-12-31,10,ROBINA DENTAL CLINIC,Gold Coast,Clinical Assessment,0,0,0,0,1,0,0,1,0,0,0,0,0,100
2024-12-31,10,ROBINA DENTAL CLINIC,Gold Coast,General,1239,0,0,0,0,0,100,213,39,0,0,0,0,100
2024-12-31,13,BOWEN DENTAL CLINIC,Mackay,Clinical Assessment,1,0,0,0,0,0,100,6,0,0,0,0,0,100
2024-12-31,13,BOWEN DENTAL CLINIC,Mackay,General,849,33,0,0,0,0,100,104,44,0,0,0,0,100
2024-12-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2024-12-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 2,11,3,0,0,0,0,79,6,5,0,0,0,0,55
2024-12-31,13,BOWEN DENTAL CLINIC,Mackay,Priority 3,17,0,0,0,0,0,100,4,2,0,0,0,0,100
2024-12-31,14,AYR DENTAL CLINIC,Townsville,Clinical Assessment,0,0,0,0,0,0,-,11,0,0,0,0,0,100
2024-12-31,14,AYR DENTAL CLINIC,Townsville,General,216,103,0,0,0,0,100,1,29,0,0,0,0,100
2024-12-31,14,AYR DENTAL CLINIC,Townsville,Priority 1,0,0,0,0,0,0,-,3,0,0,0,0,0,100
2024-12-31,14,AYR DENTAL CLINIC,Townsville,Priority 2,32,0,0,0,0,0,100,40,0,0,0,0,0,100
2024-12-31,15,NW HHS OUTREACH,North West,Clinical Assessment,5,0,0,0,0,0,100,2,2,0,0,0,0,50
2024-12-31,15,NW HHS OUTREACH,North West,General,113,5,0,0,0,0,100,2,2,0,0,0,0,100
2024-12-31,15,NW HHS OUTREACH,North West,Priority 2,2,1,0,0,0,0,67,0,1,0,0,0,0,0
2024-12-31,15,NW HHS OUTREACH,North West,Priority 3,3,5,4,2,0,0,57,6,2,0,0,0,0,100
2024-12-31,16,MT ISA DENTAL CLINIC,North West,Clinical Assessment,8,2,2,1,0,0,62,18,4,0,1,0,0,78
2024-12-31,16,MT ISA DENTAL CLINIC,North West,General,327,1,0,0,0,0,100,11,4,0,0,0,0,100
2024-12-31,16,MT ISA DENTAL CLINIC,North West,Priority 1,0,1,0,0,0,0,0,0,0,0,0,0,0,-
2024-12-31,16,MT ISA DENTAL CLINIC,North West,Priority 2,2,0,0,0,0,0,100,0,1,0,0,0,0,0
2024-12-31,16,MT ISA DENTAL CLINIC,North West,Priority 3,50,23,12,2,0,0,84,2,4,2,0,0,0,75
2024-12-31,17,INGHAM DENTAL CLINIC,Townsville,Clinical Assessment,4,0,0,0,0,0,100,9,0,0,0,0,0,100
2024-12-31,17,INGHAM DENTAL CLINIC,Townsville,General,264,83,0,0,0,0,100,0,42,0,0,0,0,100
2024-12-31,17,INGHAM DENTAL CLINIC,Townsville,Priority 2,27,0,0,0,0,0,100,27,0,0,0,0,0,100
2024-12-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Clinical Assessment,1,0,0,0,0,0,100,13,0,0,0,0,0,100
2024-12-31,19,CHARTERS TOWERS DENTAL CL,Townsville,General,151,2,0,0,0,0,100,6,43,0,0,0,0,100
2024-12-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Priority 1,0,0,0,0,0,0,-,3,0,0,0,0,0,100
2024-12-31,19,CHARTERS TOWERS DENTAL CL,Townsville,Priority 2,15,0,0,0,0,0,100,31,0,0,0,0,0,100
2024-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Clinical Assessment,30,0,0,0,0,0,100,58,0,0,0,0,0,100
2024-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,General,1956,662,0,0,0,0,100,2,203,0,0,0,0,100
2024-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 1,0,0,0,0,0,0,-,26,0,0,0,0,0,100
2024-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 2,293,0,0,0,0,0,100,267,0,0,0,0,0,100
2024-12-31,20,TOWNSVILLE DENTAL CLINIC,Townsville,Priority 3,1,0,0,0,0,0,100,8,0,0,0,0,0,100
2024-12-31,21,MOSSMAN DENTAL CLINIC,Cairns and Hinterland,General,481,6,0,0,0,0,100,33,19,0,0,0,0,100
2024-12-31,21,MOSSMAN DENTAL CLINIC,Cairns and Hinterland,Priority 3,20,6,0,0,0,0,100,3,9,0,0,0,0,100
2024-12-31,23,ATHERTON DENTAL CLINIC,Cairns and Hinterland,General,721,180,0,0,0,0,100,1,62,1,0,0,0,98
2024-12-31,23,ATHERTON DENTAL CLINIC,Cairns and Hinterland,Priority 3,67,69,49,10,0,0,70,7,7,13,10,0,0,38
2024-12-31,24,INNISFAIL DENTAL CLINIC,Cairns and Hinterland,General,827,263,0,0,0,0,100,4,52,1,0,0,0,98
2024-12-31,24,INNISFAIL DENTAL CLINIC,Cairns and Hinterland,Priority 3,48,52,30,0,0,0,77,4,3,12,0,0,0,37
2024-12-31,25,MAREEBA DENTAL CLINIC,Cairns and Hinterland,General,898,229,0,0,0,0,100,4,101,1,1,0,0,98
2024-12-31,25,MAREEBA DENTAL CLINIC,Cairns and Hinterland,Priority 3,60,47,51,46,9,0,50,13,4,1,16,5,0,44
2024-12-31,26,CAIRNS NTH DENTAL CLINIC,Cairns and Hinterland,General,2629,93,0,0,0,0,100,131,225,0,0,1,0,100
2024-12-31,26,CAIRNS NTH DENTAL CLINIC,Cairns and Hinterland,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2024-12-31,26,CAIRNS NTH DENTAL CLINIC,Cairns and Hinterland,Priority 3,213,149,6,0,0,0,98,61,65,52,1,0,0,70
2024-12-31,27,SMITHFIELD DENTAL CLINIC,Cairns and Hinterland,Clinical Assessment,0,0,0,0,0,0,-,6,1,0,0,0,0,86
2024-12-31,27,SMITHFIELD DENTAL CLINIC,Cairns and Hinterland,General,802,65,0,0,0,0,100,9,86,0,0,0,0,100
2024-12-31,27,SMITHFIELD DENTAL CLINIC,Cairns and Hinterland,Priority 3,56,52,43,1,0,0,71,24,1,8,0,0,0,76
2024-12-31,28,TULLY DENTAL CLINIC,Cairns and Hinterland,General,520,180,0,0,0,0,100,1,39,0,0,0,0,100
2024-12-31,28,TULLY DENTAL CLINIC,Cairns and Hinterland,Priority 3,36,12,0,0,0,0,100,5,11,1,0,0,1,89
