date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2024-06-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,43,0,0,0,0,0,100
2024-06-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1646,1514,1,0,0,0,100,1,116,4,0,0,0,97
2024-06-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,2,0,0,0,0,0,100
2024-06-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,48,63,40,37,29,2,22,9,21,22,22,1,0,12
2024-06-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,64,72,47,0,0,0,74,0,3,9,0,0,0,25
2024-06-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,4,0,0,0,0,0,100,53,0,0,0,0,0,100
2024-06-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1917,1675,1,0,0,0,100,0,146,4,0,0,0,97
2024-06-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2024-06-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,7,51,13,0,0,1,10,1,30,8,1,1,0,2
2024-06-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,47,126,49,1,0,0,78,2,2,28,3,0,0,11
2024-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,11,2,0,0,0,0,85,35,0,0,0,0,0,100
2024-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1343,1227,0,0,0,0,100,1,144,1,0,0,0,99
2024-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,1,0,0,0,0,0,100,4,0,0,0,0,0,100
2024-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,51,46,50,45,9,0,25,0,2,2,12,1,0,0
2024-06-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,106,106,62,14,0,0,74,0,1,19,14,0,1,3
2024-06-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,2,0,0,0,0,0,100,23,0,0,0,1,0,96
2024-06-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1022,923,0,0,0,0,100,0,53,2,0,0,0,96
2024-06-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,22,59,41,30,0,0,14,1,9,7,6,3,3,3
2024-06-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,33,44,30,0,0,0,72,1,5,16,4,0,0,23
2024-06-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,4,0,0,0,0,0,100,15,1,0,0,0,0,94
2024-06-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,969,733,0,0,0,0,100,0,57,1,0,0,0,98
2024-06-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2024-06-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,14,24,7,0,0,2,30,0,10,4,0,0,0,0
2024-06-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,50,13,1,0,0,5,91,4,15,2,1,1,0,83
2024-06-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,2,0,0,0,0,0,100,37,1,0,0,0,0,97
2024-06-30,6,REDCLIFFE DENTAL CLINIC,Metro North,General,2468,95,0,0,0,0,100,6,9,1,0,0,0,94
2024-06-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 1,14,7,1,0,0,2,58,8,8,1,0,0,0,47
2024-06-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 2,244,131,46,10,10,4,55,26,70,14,3,0,0,23
2024-06-30,6,REDCLIFFE DENTAL CLINIC,Metro North,Priority 3,57,27,6,3,1,3,87,1,2,2,0,0,0,60
2024-06-30,7,CABOOLTURE DENTAL CLINIC,Metro North,Clinical Assessment,5,0,0,0,0,0,100,87,1,0,0,0,0,99
2024-06-30,7,CABOOLTURE DENTAL CLINIC,Metro North,General,4311,157,0,0,0,0,100,3,8,0,0,0,0,100
2024-06-30,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 1,1,0,0,0,0,0,100,41,1,0,0,0,0,98
2024-06-30,7,CABOOLTURE DENTAL CLINIC,Metro North,Priority 2,527,198,0,0,0,0,73,19,129,11,0,0,0,12
