date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2024-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,4,0,0,0,0,0,100,27,0,0,0,0,0,100
2024-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1622,1313,0,0,0,0,100,1,246,10,0,0,0,96
2024-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,60,76,28,24,12,0,30,1,17,15,13,25,5,1
2024-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,40,77,23,15,0,0,75,0,4,20,1,0,0,16
2024-09-30,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,1,0,50
2024-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,69,0,0,0,0,0,100
2024-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1945,1509,0,0,0,0,100,3,365,4,0,0,0,99
2024-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,104,80,57,1,0,0,43,2,7,30,5,0,0,5
2024-09-30,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,88,117,84,4,0,0,70,1,0,30,0,0,0,3
2024-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,16,0,0,0,0,0,100,21,4,0,0,0,0,84
2024-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1305,1120,0,0,0,0,100,0,195,5,0,0,0,98
2024-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,48,60,44,41,31,2,21,0,0,3,13,9,0,0
2024-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,95,116,65,17,0,0,72,0,0,13,10,0,0,0
2024-09-30,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,9,1,0,0,0,0,90
2024-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,5,2,0,0,0,0,71,18,1,0,0,0,1,90
2024-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1024,824,0,0,0,0,100,5,187,8,0,0,0,96
2024-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,40,35,24,1,0,0,40,4,19,24,22,10,4,5
2024-09-30,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,42,50,21,0,0,0,81,0,1,18,0,0,0,5
2024-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,965,712,0,0,0,0,100,0,136,1,0,0,0,99
2024-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,14,16,14,0,0,1,31,2,1,8,0,0,1,17
2024-09-30,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,58,23,1,0,0,5,93,1,10,1,0,0,0,92
