date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2025-06-30,1,KAWANA DENTAL CLINIC,SUN,General,1658,1260,1,0,0,0,100,3,171,21,1,0,0,2
2025-06-30,1,KAWANA DENTAL CLINIC,SUN,Priority 2,36,68,43,48,26,1,16,0,6,10,7,3,2,0
2025-06-30,1,KAWANA DENTAL CLINIC,SUN,Priority 3,51,71,48,8,0,0,69,0,0,4,6,0,0,0
2025-06-30,1,KAWANA DENTAL CLINIC,SUN,Clinical Assessment,0,0,0,0,0,0,-,28,1,0,0,0,0,97
2025-06-30,2,CALOUNDRA DENTAL CLINIC,SUN,General,2014,1410,2,0,0,0,100,0,191,10,1,0,0,0
2025-06-30,2,CALOUNDRA DENTAL CLINIC,SUN,Priority 1,1,0,0,0,0,0,100,1,0,0,0,0,0,100
2025-06-30,2,CALOUNDRA DENTAL CLINIC,SUN,Priority 2,92,111,19,12,12,11,36,0,43,25,8,7,3,0
2025-06-30,2,CALOUNDRA DENTAL CLINIC,SUN,Priority 3,88,82,55,25,5,0,67,1,3,30,4,0,0,3
2025-06-30,2,CALOUNDRA DENTAL CLINIC,SUN,Clinical Assessment,0,0,0,0,0,0,-,44,5,1,0,0,0,88
2025-06-30,3,GYMPIE DENTAL CLINIC,SUN,Clinical Assessment,8,1,0,0,0,0,89,32,3,2,0,0,0,86
2025-06-30,3,GYMPIE DENTAL CLINIC,SUN,General,1393,965,2,0,0,0,100,0,162,7,0,0,0,0
2025-06-30,3,GYMPIE DENTAL CLINIC,SUN,Priority 2,72,59,53,45,10,0,30,1,4,7,10,20,7,2
2025-06-30,3,GYMPIE DENTAL CLINIC,SUN,Priority 3,96,69,23,0,0,0,88,11,17,30,3,0,0,18
2025-06-30,3,GYMPIE DENTAL CLINIC,SUN,Priority 1,0,0,0,0,0,0,-,12,1,0,0,0,1,86
2025-06-30,4,NAMBOUR DENTAL CLINIC,SUN,Clinical Assessment,1,0,0,0,0,0,100,19,2,0,0,0,0,90
2025-06-30,4,NAMBOUR DENTAL CLINIC,SUN,General,1045,728,1,0,0,0,100,0,111,11,0,0,0,0
2025-06-30,4,NAMBOUR DENTAL CLINIC,SUN,Priority 2,41,41,29,25,16,14,25,0,8,7,5,6,1,0
2025-06-30,4,NAMBOUR DENTAL CLINIC,SUN,Priority 3,69,60,24,3,0,0,83,0,0,6,2,1,0,0
2025-06-30,4,NAMBOUR DENTAL CLINIC,SUN,Priority 1,0,0,0,0,0,0,-,2,0,0,1,0,0,67
2025-06-30,5,NOOSA DENTAL CLINIC,SUN,Clinical Assessment,2,3,0,1,1,2,22,6,5,2,2,2,0,35
2025-06-30,5,NOOSA DENTAL CLINIC,SUN,General,945,680,0,0,0,0,100,1,95,0,0,0,0,1
2025-06-30,5,NOOSA DENTAL CLINIC,SUN,Priority 2,16,19,15,12,10,6,21,0,1,6,3,1,0,0
2025-06-30,5,NOOSA DENTAL CLINIC,SUN,Priority 3,23,43,13,1,0,0,83,0,3,6,0,0,0,0
2025-06-30,5,NOOSA DENTAL CLINIC,SUN,Priority 1,0,0,0,0,0,0,-,0,0,0,0,1,0,0
2025-06-30,6,REDCLIFFE DENTAL CLINIC,MNT,General,2251,1356,0,0,0,0,100,3,291,2,0,0,0,1
2025-06-30,6,REDCLIFFE DENTAL CLINIC,MNT,Priority 1,6,16,7,2,1,14,13,12,5,14,6,2,3,29
2025-06-30,6,REDCLIFFE DENTAL CLINIC,MNT,Priority 2,237,135,22,10,1,0,59,60,50,41,16,2,2,35
2025-06-30,6,REDCLIFFE DENTAL CLINIC,MNT,Priority 3,33,11,3,0,0,0,94,3,13,3,7,1,2,10
2025-06-30,6,REDCLIFFE DENTAL CLINIC,MNT,Clinical Assessment,0,0,0,0,0,0,-,23,6,2,1,0,0,72
2025-06-30,7,CABOOLTURE DENTAL CLINIC,MNT,Clinical Assessment,2,0,0,0,0,0,100,36,22,1,3,2,0,56
2025-06-30,7,CABOOLTURE DENTAL CLINIC,MNT,General,4373,2487,0,0,0,0,100,4,540,5,0,0,0,1
2025-06-30,7,CABOOLTURE DENTAL CLINIC,MNT,Priority 1,2,0,0,0,0,0,100,27,22,4,1,1,1,48
2025-06-30,7,CABOOLTURE DENTAL CLINIC,MNT,Priority 2,437,219,3,0,0,0,66,49,91,205,32,2,0,13
2025-06-30,7,CABOOLTURE DENTAL CLINIC,MNT,Priority 3,72,21,0,0,0,0,100,9,21,8,14,0,0,17
2025-06-30,8,PALM BEACH DENTAL CLINIC,GOL,General,930,0,0,0,0,0,100,95,2,0,0,0,0,98
2025-06-30,10,ROBINA DENTAL CLINIC,GOL,General,1446,0,0,0,0,0,100,29,104,0,0,0,0,22
2025-06-30,10,ROBINA DENTAL CLINIC,GOL,Clinical Assessment,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2025-06-30,13,BOWEN DENTAL CLINIC,MAC,General,814,124,0,0,0,0,100,10,65,0,0,0,0,13
2025-06-30,13,BOWEN DENTAL CLINIC,MAC,Priority 2,13,0,0,0,0,0,100,3,3,2,0,0,0,38
2025-06-30,13,BOWEN DENTAL CLINIC,MAC,Priority 3,6,1,0,0,0,0,100,15,6,0,0,0,0,71
2025-06-30,13,BOWEN DENTAL CLINIC,MAC,Clinical Assessment,0,0,0,0,0,0,-,5,0,0,0,0,0,100
2025-06-30,13,BOWEN DENTAL CLINIC,MAC,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2025-06-30,14,AYR DENTAL CLINIC,TVL,Clinical Assessment,10,0,0,0,0,0,100,10,3,0,0,0,0,77
2025-06-30,14,AYR DENTAL CLINIC,TVL,General,206,90,0,0,0,0,100,0,51,0,0,0,0,0
2025-06-30,14,AYR DENTAL CLINIC,TVL,Priority 2,17,0,0,0,0,0,100,15,4,0,0,0,0,79
2025-06-30,14,AYR DENTAL CLINIC,TVL,Priority 3,1,0,0,0,0,0,100,1,1,0,0,0,0,50
2025-06-30,14,AYR DENTAL CLINIC,TVL,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2025-06-30,15,NW HHS OUTREACH,NTW,Clinical Assessment,3,2,3,2,0,0,30,2,0,1,0,0,0,67
2025-06-30,15,NW HHS OUTREACH,NTW,General,118,30,0,0,0,0,100,28,3,0,0,0,0,90
2025-06-30,15,NW HHS OUTREACH,NTW,Priority 1,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2025-06-30,15,NW HHS OUTREACH,NTW,Priority 2,0,0,2,2,0,0,0,0,0,0,0,0,0,-
2025-06-30,15,NW HHS OUTREACH,NTW,Priority 3,22,6,5,4,1,0,74,0,0,0,0,0,0,-
2025-06-30,16,MT ISA DENTAL CLINIC,NTW,Clinical Assessment,19,15,4,5,0,0,44,14,4,1,0,0,0,74
2025-06-30,16,MT ISA DENTAL CLINIC,NTW,General,459,2,1,0,0,0,100,23,3,0,0,0,0,88
2025-06-30,16,MT ISA DENTAL CLINIC,NTW,Priority 1,1,0,0,1,0,0,50,0,0,0,0,0,1,0
2025-06-30,16,MT ISA DENTAL CLINIC,NTW,Priority 3,23,48,22,2,0,0,75,2,1,2,6,1,0,17
2025-06-30,16,MT ISA DENTAL CLINIC,NTW,Priority 2,1,0,1,0,0,0,50,0,0,0,0,0,0,-
2025-06-30,17,INGHAM DENTAL CLINIC,TVL,Clinical Assessment,7,0,0,0,0,0,100,17,7,1,0,0,0,68
2025-06-30,17,INGHAM DENTAL CLINIC,TVL,General,266,115,0,0,0,0,100,0,52,0,0,0,0,0
2025-06-30,17,INGHAM DENTAL CLINIC,TVL,Priority 2,21,0,0,0,0,0,100,20,5,0,0,0,0,80
2025-06-30,17,INGHAM DENTAL CLINIC,TVL,Priority 3,4,0,0,0,0,0,100,1,0,0,0,0,0,100
2025-06-30,17,INGHAM DENTAL CLINIC,TVL,Priority 1,0,0,0,0,0,0,-,2,0,0,0,0,0,100
2025-06-30,19,CHARTERS TOWERS DENTAL CL,TVL,Clinical Assessment,2,0,0,0,0,0,100,11,2,0,0,0,0,85
2025-06-30,19,CHARTERS TOWERS DENTAL CL,TVL,General,126,48,0,0,0,0,100,0,16,0,0,0,0,0
2025-06-30,19,CHARTERS TOWERS DENTAL CL,TVL,Priority 2,15,0,0,0,0,0,100,20,4,0,0,0,0,83
2025-06-30,19,CHARTERS TOWERS DENTAL CL,TVL,Priority 3,1,0,0,0,0,0,100,0,0,0,0,0,0,-
2025-06-30,19,CHARTERS TOWERS DENTAL CL,TVL,Priority 1,0,0,0,0,0,0,-,2,0,0,0,0,0,100
2025-06-30,20,TOWNSVILLE DENTAL CLINIC,TVL,Clinical Assessment,32,0,0,0,0,0,100,58,24,1,0,0,0,70
2025-06-30,20,TOWNSVILLE DENTAL CLINIC,TVL,General,2075,760,0,0,0,0,100,0,185,1,0,0,0,0
2025-06-30,20,TOWNSVILLE DENTAL CLINIC,TVL,Priority 1,1,0,0,0,0,0,100,21,1,0,0,0,0,95
2025-06-30,20,TOWNSVILLE DENTAL CLINIC,TVL,Priority 2,190,0,0,0,0,0,100,262,8,1,0,0,0,97
2025-06-30,20,TOWNSVILLE DENTAL CLINIC,TVL,Priority 3,7,0,0,0,0,0,100,16,0,0,0,0,0,100
2025-06-30,21,MOSSMAN DENTAL CLINIC,CAH,General,403,116,0,0,0,0,100,0,61,0,0,0,0,0
2025-06-30,21,MOSSMAN DENTAL CLINIC,CAH,Priority 3,20,4,0,0,0,0,100,0,12,0,0,0,0,0
2025-06-30,23,ATHERTON DENTAL CLINIC,CAH,General,609,359,0,0,0,0,100,0,64,1,0,0,0,0
2025-06-30,23,ATHERTON DENTAL CLINIC,CAH,Priority 3,76,71,64,11,0,0,66,5,1,3,11,0,0,25
2025-06-30,24,INNISFAIL DENTAL CLINIC,CAH,General,775,283,0,0,0,0,100,6,108,6,0,0,0,5
2025-06-30,24,INNISFAIL DENTAL CLINIC,CAH,Priority 3,68,48,17,0,0,1,87,10,4,28,0,1,0,23
2025-06-30,24,INNISFAIL DENTAL CLINIC,CAH,Clinical Assessment,0,0,1,0,0,0,0,0,0,0,0,0,0,-
2025-06-30,25,MAREEBA DENTAL CLINIC,CAH,General,773,333,0,0,0,0,100,3,103,0,0,0,0,3
2025-06-30,25,MAREEBA DENTAL CLINIC,CAH,Priority 1,1,0,0,0,0,0,100,0,1,0,0,0,0,0
2025-06-30,25,MAREEBA DENTAL CLINIC,CAH,Priority 3,49,46,37,4,0,0,70,18,7,6,25,8,1,28
2025-06-30,26,CAIRNS NTH DENTAL CLINIC,CAH,General,2432,931,0,0,0,0,100,16,89,0,0,0,1,15
2025-06-30,26,CAIRNS NTH DENTAL CLINIC,CAH,Priority 3,160,64,7,0,0,0,97,55,74,22,2,0,0,36
2025-06-30,26,CAIRNS NTH DENTAL CLINIC,CAH,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2025-06-30,26,CAIRNS NTH DENTAL CLINIC,CAH,Priority 2,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2025-06-30,27,SMITHFIELD DENTAL CLINIC,CAH,General,725,232,0,0,0,0,100,4,84,0,0,0,0,5
2025-06-30,27,SMITHFIELD DENTAL CLINIC,CAH,Priority 3,33,50,47,0,0,0,64,18,5,5,10,0,0,47
2025-06-30,27,SMITHFIELD DENTAL CLINIC,CAH,Clinical Assessment,0,0,0,0,0,0,-,4,0,0,0,0,0,100
2025-06-30,28,TULLY DENTAL CLINIC,CAH,General,538,141,0,0,0,0,100,2,90,1,0,0,0,2
2025-06-30,28,TULLY DENTAL CLINIC,CAH,Priority 3,23,0,0,0,0,0,100,25,2,0,0,0,0,93
2025-06-30,30,EDMONTON DENTAL CLINIC,CAH,General,1176,232,0,0,0,0,100,4,157,0,0,0,0,2
2025-06-30,30,EDMONTON DENTAL CLINIC,CAH,Priority 3,79,60,16,0,1,0,89,16,19,38,8,0,0,20
2025-06-30,32,ROCKHAMPTON DENTAL CLINIC,CTQ,General,3675,10,0,0,0,0,100,645,61,0,0,0,0,91
2025-06-30,32,ROCKHAMPTON DENTAL CLINIC,CTQ,Priority 1,0,1,0,0,0,0,0,10,0,0,0,0,1,91
2025-06-30,32,ROCKHAMPTON DENTAL CLINIC,CTQ,Priority 2,48,9,1,0,0,0,83,11,73,11,0,0,0,12
