date,clinicID,clinicName,Hospital and Health Service,Area,Waiting D1,Waiting D2,Waiting D3,Waiting D4,Waiting D5,Waiting D6,Waiting D7,Treated D1,Treated D2,Treated D3,Treated D4,Treated D5,Treated D6,Treated D7
2025-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,25,3,1,0,0,0,86
2025-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,General,1694,1181,0,0,0,0,100,7,279,22,0,1,0,93
2025-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,1,0,0,0,0,0,100
2025-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 2,50,56,54,27,2,2,26,1,7,17,13,18,12,1
2025-03-31,1,KAWANA DENTAL CLINIC,Sunshine Coast,Priority 3,50,88,18,0,0,0,88,0,14,27,7,2,0,28
2025-03-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,0,0,0,0,0,0,-,53,1,0,0,0,2,95
2025-03-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,General,1961,1237,0,0,0,0,100,1,347,21,0,0,0,94
2025-03-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,3,0,0,0,0,0,100
2025-03-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 2,126,39,27,26,22,0,53,0,31,18,5,6,1,0
2025-03-31,2,CALOUNDRA DENTAL CLINIC,Sunshine Coast,Priority 3,77,106,53,23,0,0,71,0,1,30,7,1,0,3
2025-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Clinical Assessment,8,1,0,0,0,0,89,33,7,0,0,0,0,83
2025-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,General,1411,831,0,0,0,0,100,0,221,6,0,0,0,97
2025-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 1,0,0,0,0,0,0,-,0,1,0,0,0,0,0
2025-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 2,58,58,56,42,9,0,26,0,0,2,1,11,19,0
2025-03-31,3,GYMPIE DENTAL CLINIC,Sunshine Coast,Priority 3,100,89,18,0,0,0,91,0,1,31,12,1,0,2
2025-03-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Clinical Assessment,1,0,0,0,0,0,100,16,7,0,0,0,1,67
2025-03-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,General,1060,710,0,0,0,0,100,0,66,10,0,0,0,87
2025-03-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 2,25,33,24,20,15,1,21,0,21,10,5,1,0,0
2025-03-31,4,NAMBOUR DENTAL CLINIC,Sunshine Coast,Priority 3,42,55,9,0,0,0,92,0,0,20,5,1,0,0
2025-03-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Clinical Assessment,5,7,3,0,0,0,33,3,3,1,0,0,0,43
2025-03-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,General,1024,600,0,0,0,0,100,0,95,3,0,0,0,97
2025-03-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 2,16,19,15,12,6,0,24,0,1,2,2,2,0,0
2025-03-31,5,NOOSA DENTAL CLINIC,Sunshine Coast,Priority 3,19,46,0,0,0,0,100,0,11,4,0,0,0,73
2025-03-31,6,REDCLIFFE DENTAL CLINIC,Metro North,Clinical Assessment,6,0,0,0,0,0,100,28,16,1,2,0,0,60
